,TPX_Open,TPX_High,TPX_Low,TPX_Close,TPX_Adj Close,TPX_Volume,TPX_Dividend Amount,TPX_Split Coefficient
2024-10-04,54.11,54.22,52.68,53.02,53.02,1606331,0.0,1.0
2024-10-03,53.61,53.88,53.06,53.3,53.3,1080371,0.0,1.0
2024-10-02,54.06,54.78,53.67,54.06,54.06,911213,0.0,1.0
2024-10-01,54.42,54.93,53.74,54.61,54.61,1040397,0.0,1.0
2024-09-30,54.65,54.79,54.09,54.6,54.6,1411956,0.0,1.0
2024-09-27,54.58,55.36,54.11,54.78,54.78,1241253,0.0,1.0
2024-09-26,54.36,54.48,53.81,54.05,54.05,1686403,0.0,1.0
2024-09-25,54.0,54.0,53.38,53.69,53.69,681368,0.0,1.0
2024-09-24,54.39,54.66,53.425,54.0,54.0,1161485,0.0,1.0
2024-09-23,54.21,54.26,53.5,54.15,54.15,1205880,0.0,1.0
2024-09-20,54.45,54.45,53.61,53.77,53.77,1933895,0.0,1.0
2024-09-19,54.39,54.91,53.53,54.69,54.69,1237625,0.0,1.0
2024-09-18,52.91,54.5,52.32,52.97,52.97,865938,0.0,1.0
2024-09-17,51.8,53.09,51.64,52.87,52.87,1575611,0.0,1.0
2024-09-16,51.58,52.05,50.85,51.57,51.57,1314615,0.0,1.0
2024-09-13,49.51,51.91,49.51,51.43,51.43,1829667,0.0,1.0
2024-09-12,48.61,49.58,48.23,49.17,49.17,779614,0.0,1.0
2024-09-11,48.05,48.78,47.25,48.63,48.63,1127516,0.0,1.0
2024-09-10,48.54,48.885,47.74,48.38,48.38,1278112,0.0,1.0
2024-09-09,49.56,49.68,48.751,48.8,48.8,1065670,0.0,1.0
2024-09-06,50.15,50.31,49.365,49.52,49.52,826448,0.0,1.0
2024-09-05,50.53,50.83,49.82,50.14,50.14,890842,0.0,1.0
2024-09-04,50.4,50.9,49.77,50.54,50.54,1140400,0.0,1.0
2024-09-03,52.02,52.45,51.07,51.4,51.4,1100139,0.0,1.0
2024-08-30,52.26,52.63,51.41,52.43,52.43,861505,0.0,1.0
2024-08-29,51.65,52.7,51.19,51.77,51.77,565730,0.0,1.0
2024-08-28,51.59,52.08,51.31,51.39,51.39,466113,0.0,1.0
2024-08-27,52.17,52.22,51.67,52.0,52.0,500829,0.0,1.0
2024-08-26,53.04,53.39,52.39,52.49,52.49,751540,0.0,1.0
2024-08-23,51.43,53.075,50.93,52.69,52.69,1210868,0.0,1.0
2024-08-22,51.87,51.9529,50.89,51.1,51.1,728938,0.0,1.0
2024-08-21,51.03,51.86,50.89,51.79,51.79,695360,0.0,1.0
2024-08-20,50.58,51.05,50.1,50.41,50.41,740934,0.0,1.0
2024-08-19,51.0,51.83,50.405,50.74,50.74,1115854,0.0,1.0
2024-08-16,51.63,52.02,50.69,50.9,50.9,1096377,0.0,1.0
2024-08-15,51.32,52.14,50.85,51.6,51.6,1460506,0.13,1.0
2024-08-14,50.75,50.93,50.135,50.24,50.1137444422965,817430,0.0,1.0
2024-08-13,49.66,50.965,49.4,50.61,50.4828146143437,2045133,0.0,1.0
2024-08-12,50.18,50.18,49.26,49.4,49.2758554030543,1167586,0.0,1.0
