,EXPE_Open,EXPE_High,EXPE_Low,EXPE_Close,EXPE_Adj Close,EXPE_Volume,EXPE_Dividend Amount,EXPE_Split Coefficient
2024-10-04,149.61,151.61,149.34,150.72,150.72,1245234,0.0,1.0
2024-10-03,146.28,147.07,143.8604,146.84,146.84,1383869,0.0,1.0
2024-10-02,145.11,147.87,144.77,147.76,147.76,848996,0.0,1.0
2024-10-01,148.02,148.075,144.055,146.47,146.47,930504,0.0,1.0
2024-09-30,148.73,148.765,146.31,148.02,148.02,1041762,0.0,1.0
2024-09-27,149.5,150.9,147.7,149.09,149.09,948825,0.0,1.0
2024-09-26,147.57,149.4497,146.56,148.48,148.48,1290104,0.0,1.0
2024-09-25,145.63,146.59,144.2,145.49,145.49,1744545,0.0,1.0
2024-09-24,145.0,147.99,144.49,147.92,147.92,1487133,0.0,1.0
2024-09-23,144.03,144.49,142.424816,144.04,144.04,979764,0.0,1.0
2024-09-20,142.54,144.18,141.64,144.04,144.04,2647762,0.0,1.0
2024-09-19,142.71,145.11,141.6,142.54,142.54,1640354,0.0,1.0
2024-09-18,137.44,140.905,136.86,139.655,139.655,1315574,0.0,1.0
2024-09-17,136.2,139.78,135.7981,138.41,138.41,1757956,0.0,1.0
2024-09-16,136.56,137.42,134.82,135.79,135.79,792699,0.0,1.0
2024-09-13,133.51,135.87,132.98,135.77,135.77,1067047,0.0,1.0
2024-09-12,130.47,132.85,129.945,132.22,132.22,1036570,0.0,1.0
2024-09-11,130.62,130.93,126.46,129.83,129.83,1485029,0.0,1.0
2024-09-10,133.71,133.71,129.17,131.1,131.1,1311204,0.0,1.0
2024-09-09,132.99,134.475,131.85,132.86,132.86,1299010,0.0,1.0
2024-09-06,135.16,136.88,131.72,132.26,132.26,1234041,0.0,1.0
2024-09-05,134.0,137.67,133.57,135.19,135.19,1340724,0.0,1.0
2024-09-04,136.2,137.72,134.74,134.92,134.92,1064652,0.0,1.0
2024-09-03,138.56,139.635,135.875,136.74,136.74,1532158,0.0,1.0
2024-08-30,142.23,142.23,138.39,139.09,139.09,2008340,0.0,1.0
2024-08-29,141.0,142.42,139.935,140.91,140.91,1263191,0.0,1.0
2024-08-28,139.8,140.5099,138.79,139.72,139.72,1237053,0.0,1.0
2024-08-27,136.69,141.79,136.36,140.8,140.8,1710960,0.0,1.0
2024-08-26,138.13,139.675,136.99,137.12,137.12,1270615,0.0,1.0
2024-08-23,134.4,138.9,133.905,138.13,138.13,1303564,0.0,1.0
2024-08-22,133.63,135.15,132.72,133.12,133.12,1065460,0.0,1.0
2024-08-21,134.0,134.84,131.93,133.19,133.19,1279827,0.0,1.0
2024-08-20,135.0,136.26,133.345,133.52,133.52,1333400,0.0,1.0
2024-08-19,131.95,135.64,131.58,135.46,135.46,1552503,0.0,1.0
2024-08-16,130.93,131.7976,130.15,131.04,131.04,1675629,0.0,1.0
2024-08-15,130.25,132.87,129.71,132.22,132.22,1569966,0.0,1.0
2024-08-14,131.02,132.48,127.61,129.03,129.03,2829970,0.0,1.0
2024-08-13,128.43,130.695,127.4401,130.58,130.58,1868334,0.0,1.0
2024-08-12,128.51,129.69,126.3301,126.89,126.89,2417612,0.0,1.0
2024-08-09,130.0,131.31,125.5,130.01,130.01,6092480,0.0,1.0
2024-08-08,113.37,118.56,112.6824,117.97,117.97,4123856,0.0,1.0
2024-08-07,115.0,116.17,111.08,113.24,113.24,3040151,0.0,1.0
2024-08-06,113.0,117.805,112.54,117.53,117.53,2952163,0.0,1.0
2024-08-05,111.75,114.34,110.2,112.12,112.12,3321278,0.0,1.0
2024-08-02,116.5,117.17,113.19,115.49,115.49,3051294,0.0,1.0
2024-08-01,126.8,127.11,120.06,121.48,121.48,2711181,0.0,1.0
2024-07-31,129.09,129.29,125.94,127.67,127.67,1641446,0.0,1.0
2024-07-30,128.63,129.71,127.67,128.53,128.53,1379556,0.0,1.0
2024-07-29,126.425,128.84,125.95,128.28,128.28,1321765,0.0,1.0
2024-07-26,126.69,127.19,125.19,125.87,125.87,1440159,0.0,1.0
2024-07-25,126.62,126.7,121.95,124.9,124.9,2212386,0.0,1.0
2024-07-24,131.64,131.85,127.2,128.49,128.49,2084659,0.0,1.0
2024-07-23,134.85,136.21,132.52,132.67,132.67,1524639,0.0,1.0
2024-07-22,134.83,136.31,132.62,134.46,134.46,1641953,0.0,1.0
2024-07-19,134.49,136.58,133.87,135.88,135.88,1412336,0.0,1.0
2024-07-18,135.54,137.73,133.43,133.52,133.52,1362759,0.0,1.0
2024-07-17,138.76,138.9,134.19,135.54,135.54,1763007,0.0,1.0
2024-07-16,133.01,141.6,133.0,139.7,139.7,3805424,0.0,1.0
2024-07-15,131.86,133.92,130.57,132.52,132.52,1512017,0.0,1.0
2024-07-12,129.2,131.93,128.87,131.69,131.69,1454077,0.0,1.0
2024-07-11,129.01,130.57,127.09,128.72,128.72,1449341,0.0,1.0
2024-07-10,129.07,130.04,127.8201,129.53,129.53,1686055,0.0,1.0
2024-07-09,126.11,129.89,125.58,128.56,128.56,2141878,0.0,1.0
2024-07-08,124.49,126.19,124.153,125.5,125.5,1496509,0.0,1.0
2024-07-05,123.91,124.94,122.65,123.61,123.61,1492178,0.0,1.0
2024-07-03,123.63,124.37,122.86,124.25,124.25,845703,0.0,1.0
2024-07-02,122.75,124.035,121.81,122.86,122.86,1428704,0.0,1.0
2024-07-01,126.23,126.83,122.0,122.5,122.5,1927989,0.0,1.0
2024-06-28,124.795,126.535,124.63,125.99,125.99,2692902,0.0,1.0
2024-06-27,127.04,127.36,124.305,124.66,124.66,2419027,0.0,1.0
2024-06-26,128.74,129.32,124.0,127.36,127.36,1759149,0.0,1.0
2024-06-25,128.96,130.84,128.27,129.76,129.76,1903246,0.0,1.0
2024-06-24,126.97,129.92,126.43,128.16,128.16,1892057,0.0,1.0
2024-06-21,125.21,128.09,124.6901,127.72,127.72,3839362,0.0,1.0
2024-06-20,124.61,127.82,124.61,125.48,125.48,1896509,0.0,1.0
2024-06-18,124.05,126.86,123.49,124.54,124.54,1964817,0.0,1.0
2024-06-17,124.41,124.76,122.715,124.07,124.07,1641629,0.0,1.0
2024-06-14,122.09,124.76,122.0036,124.61,124.61,1592564,0.0,1.0
2024-06-13,124.23,124.66,122.49,123.42,123.42,1515087,0.0,1.0
2024-06-12,124.88,125.21,123.29,124.56,124.56,1869645,0.0,1.0
2024-06-11,122.87,123.31,122.1,122.79,122.79,1513678,0.0,1.0
2024-06-10,122.3,124.15,122.0,123.38,123.38,1650149,0.0,1.0
2024-06-07,119.735,123.18,119.67,123.06,123.06,2575365,0.0,1.0
2024-06-06,114.8,120.41,114.79,120.31,120.31,3050776,0.0,1.0
2024-06-05,114.94,116.9,114.5,115.36,115.36,2135129,0.0,1.0
2024-06-04,113.18,114.65,113.16,114.49,114.49,1810106,0.0,1.0
2024-06-03,112.94,114.53,112.35,114.06,114.06,2532871,0.0,1.0
2024-05-31,109.26,112.95,109.26,112.86,112.86,2272521,0.0,1.0
2024-05-30,110.28,110.71,109.03,109.48,109.48,1348652,0.0,1.0
2024-05-29,108.61,110.58,107.25,110.28,110.28,1801375,0.0,1.0
2024-05-28,110.35,110.97,109.3,110.11,110.11,2285578,0.0,1.0
2024-05-24,111.0,111.365,110.26,110.31,110.31,1232068,0.0,1.0
2024-05-23,112.2,113.01,110.17,110.49,110.49,1931775,0.0,1.0
2024-05-22,111.2,112.53,111.06,112.07,112.07,1598508,0.0,1.0
2024-05-21,113.72,114.2,111.41,111.71,111.71,2556163,0.0,1.0
2024-05-20,113.89,114.56,112.62,114.32,114.32,3011699,0.0,1.0
2024-05-17,114.0,114.6,112.78,114.01,114.01,3054747,0.0,1.0
2024-05-16,112.39,114.34,112.05,113.45,113.45,2220009,0.0,1.0
2024-05-15,114.05,114.62,111.91,112.45,112.45,2239457,0.0,1.0
2024-05-14,112.9,113.74,112.71,113.48,113.48,2239274,0.0,1.0
2024-05-13,113.46,114.02,112.35,112.67,112.67,2856435,0.0,1.0
2024-05-10,113.0,113.42,112.33,112.84,112.84,3253948,0.0,1.0
2024-05-09,110.84,113.07,109.87,112.53,112.53,4481399,0.0,1.0
2024-05-08,111.94,113.0,110.72,111.54,111.54,3646102,0.0,1.0
2024-05-07,115.63,116.7,112.25,112.91,112.91,4496332,0.0,1.0
2024-05-06,115.785,116.82,114.63,116.02,116.02,4516731,0.0,1.0
2024-05-03,122.31,122.735,115.135,115.33,115.33,13956064,0.0,1.0
2024-05-02,135.14,136.675,132.76,136.09,136.09,4854270,0.0,1.0
2024-05-01,132.94,135.33,130.44,133.14,133.14,3085223,0.0,1.0
2024-04-30,136.5,137.5,134.28,134.63,134.63,2096203,0.0,1.0
2024-04-29,136.29,137.07,134.8926,136.66,136.66,2285440,0.0,1.0
2024-04-26,136.25,138.0,135.66,135.7,135.7,1412722,0.0,1.0
2024-04-25,134.53,136.94,134.02,136.25,136.25,1501604,0.0,1.0
2024-04-24,135.32,139.0,134.46,135.8,135.8,1776380,0.0,1.0
2024-04-23,132.53,135.31,132.13,135.02,135.02,1420221,0.0,1.0
2024-04-22,129.5,131.63,128.04,131.59,131.59,1418844,0.0,1.0
2024-04-19,128.81,129.935,128.03,129.0,129.0,1350987,0.0,1.0
2024-04-18,129.51,129.81,127.84,128.3,128.3,1252477,0.0,1.0
2024-04-17,130.18,130.87,128.24,128.73,128.73,1332249,0.0,1.0
2024-04-16,128.65,130.27,127.99,128.94,128.94,1598315,0.0,1.0
2024-04-15,131.5,133.1253,128.09,128.65,128.65,1812664,0.0,1.0
2024-04-12,131.91,132.98,130.38,130.46,130.46,2126223,0.0,1.0
2024-04-11,132.14,134.24,131.57,133.22,133.22,1693171,0.0,1.0
2024-04-10,132.14,134.21,130.95,131.4,131.4,1510931,0.0,1.0
2024-04-09,132.8,133.36,131.75,133.27,133.27,1107330,0.0,1.0
2024-04-08,131.63,133.5,131.52,132.16,132.16,1034086,0.0,1.0
2024-04-05,131.05,132.325,130.42,131.79,131.79,1577746,0.0,1.0
2024-04-04,131.85,134.395,130.4401,130.7,130.7,2685488,0.0,1.0
2024-04-03,130.96,132.27,129.55,130.56,130.56,2220897,0.0,1.0
2024-04-02,132.06,133.24,130.5,131.69,131.69,2193003,0.0,1.0
