,CLB_Open,CLB_High,CLB_Low,CLB_Close,CLB_Adj Close,CLB_Volume,CLB_Dividend Amount,CLB_Split Coefficient
2024-04-19,16.82,17.24,16.82,17.18,17.161004310165,365199,0.0,1.0
2024-04-18,16.89,17.53,16.87,16.99,16.9712143905531,434718,0.0,1.0
2024-04-17,17.18,17.33,16.55,16.69,16.6715460964292,447685,0.0,1.0
2024-04-16,17.11,17.33,16.89,17.24,17.2209379689897,444279,0.0,1.0
2024-04-15,17.42,17.655,17.26,17.38,17.3607831729143,416376,0.0,1.0
2024-04-12,18.0,18.22,17.24,17.5,17.4806504905638,455475,0.0,1.0
2024-04-11,17.78,17.9,17.52,17.89,17.870219272925,505217,0.0,1.0
2024-04-10,17.35,17.66,17.17,17.63,17.6105067513509,379050,0.0,1.0
2024-04-09,17.39,17.6,17.27,17.59,17.570550978801,189855,0.0,1.0
2024-04-08,17.39,17.5199,17.23,17.27,17.2509047984021,218149,0.0,1.0
2024-04-05,17.05,17.43,16.88,17.33,17.3108384572269,268346,0.0,1.0
2024-04-04,17.37,17.61,16.955,16.98,16.9612254474157,355628,0.0,1.0
2024-04-03,17.31,17.54,17.245,17.36,17.3408052866393,270096,0.0,1.0
2024-04-02,17.23,17.34,16.75,17.33,17.3108384572269,602569,0.0,1.0
2024-04-01,17.21,17.21,16.83,17.13,17.1110595944776,242791,0.0,1.0
2024-03-28,17.17,17.34,17.01,17.08,17.0611148787903,324701,0.0,1.0
2024-03-27,16.56,17.035,16.52,16.99,16.9712143905531,250753,0.0,1.0
2024-03-26,17.16,17.16,16.405,16.5,16.4817561768173,493569,0.0,1.0
2024-03-25,16.74,17.17,16.74,17.15,17.1310374807526,304693,0.0,1.0
2024-03-22,16.8,17.03,16.54,16.64,16.6216013807418,315597,0.0,1.0
2024-03-21,16.52,16.88,16.49,16.86,16.8413581297661,287466,0.0,1.0
2024-03-20,16.25,16.79,16.22,16.59,16.5716566650545,305058,0.0,1.0
2024-03-19,16.05,16.34,16.05,16.31,16.2919662572055,253261,0.0,1.0
2024-03-18,16.42,16.42,16.01,16.07,16.0522316219063,245212,0.0,1.0
2024-03-15,15.97,16.56,15.97,16.49,16.4717672336799,1000789,0.0,1.0
2024-03-14,16.07,16.38,15.95,16.06,16.0422426787689,365450,0.0,1.0
2024-03-13,16.18,16.51,15.89,16.08,16.0622205650438,276509,0.0,1.0
2024-03-12,16.16,16.16,15.8,16.04,16.0222647924939,200868,0.0,1.0
2024-03-11,15.94,16.25,15.66,16.22,16.2020657689683,288541,0.0,1.0
2024-03-08,16.05,16.26,15.8,15.94,15.9223753611193,345722,0.0,1.0
2024-03-07,15.62,16.07,15.57,15.97,15.9523421905317,474901,0.0,1.0
2024-03-06,15.76,15.87,15.4,15.58,15.5627734081705,325358,0.0,1.0
2024-03-05,15.39,15.62,15.25,15.49,15.4728729199334,371915,0.0,1.0
2024-03-04,15.48,15.73,15.305,15.51,15.4928508062083,409034,0.0,1.0
2024-03-01,15.18,15.7,15.18,15.46,15.442906090521,376653,0.0,1.0
2024-02-29,15.08,15.2699,14.7,14.97,14.9534478767852,558480,0.0,1.0
2024-02-28,14.6,14.83,14.47,14.81,14.7936247865857,447831,0.0,1.0
2024-02-27,14.19,15.025,14.19,14.95,14.9334699905103,369087,0.0,1.0
2024-02-26,14.22,14.5638,14.085,14.12,14.1043877101007,342867,0.0,1.0
2024-02-23,13.98,14.41,13.82,14.3,14.284188686575,460181,0.0,1.0
2024-02-22,14.37,14.51,14.03,14.11,14.0943987669632,583676,0.0,1.0
2024-02-21,14.52,14.86,14.02,14.49,14.4739786061869,1090142,0.0,1.0
2024-02-20,14.68,14.84,14.435,14.62,14.6038348669739,514120,0.0,1.0
2024-02-16,14.88,14.975,14.5,14.6,14.583856980699,435324,0.0,1.0
2024-02-15,14.25,15.02,14.2463,14.87,14.8535584454105,424900,0.0,1.0
2024-02-14,14.31,14.39,13.88,14.23,14.2142660846128,425433,0.0,1.0
2024-02-13,14.8,14.885,14.05,14.15,14.134354539513,534133,0.0,1.0
2024-02-12,14.6,15.23,14.6,14.95,14.9334699905103,454768,0.0,1.0
2024-02-09,14.8,14.915,14.315,14.52,14.5039454355993,377704,0.01,1.0
2024-02-08,14.59,15.0,14.46,14.87,14.8433357623786,416569,0.0,1.0
2024-02-07,14.91,14.92,14.445,14.6,14.5738199146421,419322,0.0,1.0
2024-02-06,14.97,15.0896,14.7,14.93,14.9032281729867,472493,0.0,1.0
2024-02-05,14.75,15.01,14.58,14.92,14.893246104552,877347,0.0,1.0
2024-02-02,14.9,14.9,14.27,14.83,14.8034074886398,834225,0.0,1.0
2024-02-01,16.72,16.97,14.78,15.03,15.0030488573336,848015,0.0,1.0
2024-01-31,16.46,16.54,15.73,15.77,15.7417219215004,616894,0.0,1.0
2024-01-30,16.06,16.43,15.6,16.36,16.3306639591469,440657,0.0,1.0
2024-01-29,16.62,16.96,16.23,16.47,16.4404667119284,322904,0.0,1.0
2024-01-26,16.71,16.99,16.535,16.82,16.7898391071424,294838,0.0,1.0
2024-01-25,16.6,16.71,16.13,16.68,16.6500901490568,499443,0.0,1.0
2024-01-24,15.7,16.5,15.49,16.26,16.2308432748,691365,0.0,1.0
2024-01-23,15.55,15.88,15.33,15.44,15.4123136631557,1666737,0.0,1.0
2024-01-22,15.49,15.535,14.91,15.45,15.4222957315904,629918,0.0,1.0
2024-01-19,15.77,15.82,15.34,15.42,15.3923495262863,1094302,0.0,1.0
2024-01-18,15.32,15.83,15.25,15.73,15.7017936477616,357329,0.0,1.0
2024-01-17,15.14,15.44,14.975,15.23,15.2026902260273,490250,0.0,1.0
2024-01-16,15.65,16.075,15.41,15.43,15.402331594721,497592,0.0,1.0
2024-01-12,16.01,16.24,15.63,15.77,15.7417219215004,521635,0.0,1.0
2024-01-11,16.11,16.1756,15.25,15.61,15.5820088265454,694431,0.0,1.0
2024-01-10,16.31,16.315,15.99,16.1,16.071130179845,318816,0.0,1.0
2024-01-09,16.9,16.925,16.18,16.41,16.3805743013203,488248,0.0,1.0
2024-01-08,16.95,17.125,16.47,16.98,16.9495522020974,479548,0.0,1.0
2024-01-05,17.13,17.71,17.0,17.49,17.4586376922664,374052,0.0,1.0
2024-01-04,17.32,17.66,16.825,17.07,17.0393908180096,597826,0.0,1.0
2024-01-03,17.46,17.9,17.065,17.46,17.4286914869624,475572,0.0,1.0
2024-01-02,17.8,18.19,17.4,17.49,17.4586376922664,258793,0.0,1.0
2023-12-29,18.0,18.08,17.565,17.66,17.6283328556561,284463,0.0,1.0
2023-12-28,18.6,18.6,18.05,18.09,18.0575617983476,228420,0.0,1.0
2023-12-27,18.8,18.85,18.51,18.6,18.5666472885166,203089,0.0,1.0
2023-12-26,18.39,18.83,18.2151,18.75,18.7163783150369,230897,0.0,1.0
2023-12-22,18.47,18.52,17.98,18.17,18.1374183458251,233192,0.0,1.0
2023-12-21,18.41,18.56,17.94,18.13,18.0974900720863,295902,0.0,1.0
2023-12-20,18.74,18.96,18.36,18.42,18.3869700566922,596874,0.0,1.0
2023-12-19,18.47,18.84,18.22,18.76,18.7263603834716,286443,0.0,1.0
2023-12-18,18.55,18.91,18.29,18.32,18.2871493723454,215789,0.0,1.0
2023-12-15,18.6,18.6,17.93,18.15,18.1174542089557,867052,0.0,1.0
2023-12-14,18.24,18.61,18.06,18.55,18.5167369463432,383683,0.0,1.0
2023-12-13,16.83,17.89,16.69,17.72,17.6882252662642,553664,0.0,1.0
2023-12-12,17.03,17.51,16.72,16.84,16.8098032440118,417156,0.0,1.0
2023-12-11,17.67,17.89,17.28,17.35,17.3188887341808,275013,0.0,1.0
2023-12-08,17.81,18.25,17.66,17.88,17.8479383612192,213158,0.0,1.0
2023-12-07,17.49,17.86,17.25,17.69,17.6582790609601,343247,0.0,1.0
2023-12-06,18.02,18.28,17.44,17.44,17.408727350093,379783,0.0,1.0
2023-12-05,18.21,18.3,17.71,18.08,18.0475797299129,255144,0.0,1.0
2023-12-04,17.94,18.3,17.675,18.15,18.1174542089557,317897,0.0,1.0
2023-12-01,17.68,18.22,17.56,18.07,18.0375976614782,298744,0.0,1.0
2023-11-30,17.71,18.35,17.61,17.71,17.6782431978295,438182,0.0,1.0
2023-11-29,18.22,18.36,17.505,17.62,17.5884045819173,286241,0.0,1.0
2023-11-28,18.6,18.78,17.98,18.01,17.9777052508701,463957,0.0,1.0
2023-11-27,18.38,18.52,17.88,18.51,18.4768086726044,281852,0.0,1.0
2023-11-24,18.28,18.74,18.2,18.51,18.4768086726044,115726,0.0,1.0
2023-11-22,17.83,18.31,17.59,18.19,18.1573824826945,266746,0.0,1.0
2023-11-21,18.12,18.57,18.09,18.24,18.2072928248679,219464,0.0,1.0
2023-11-20,18.49,18.79,18.23,18.43,18.3969521251269,219730,0.0,1.0
2023-11-17,18.66,18.84,18.25,18.28,18.2472210986066,387211,0.0,1.0
2023-11-16,19.05,19.34,18.24,18.36,18.3270776460841,315246,0.0,1.0
2023-11-15,19.77,19.99,19.34,19.36,19.3252844895528,315612,0.0,1.0
2023-11-14,19.19,19.95,18.898,19.85,19.8144058428524,496001,0.0,1.0
2023-11-13,19.33,19.415,18.55,18.87,18.8361631362531,338532,0.0,1.0
2023-11-10,19.77,19.77,19.28,19.37,19.3352665579874,314736,0.01,1.0
2023-11-09,18.92,19.61,18.805,19.54,19.4948972416447,364894,0.0,1.0
2023-11-08,18.64,19.09,18.5,18.93,18.8863052602014,375116,0.0,1.0
2023-11-07,19.89,19.89,18.71,18.76,18.7166976588155,542550,0.0,1.0
2023-11-06,21.02,21.44,20.2,20.35,20.3030275776597,381095,0.0,1.0
2023-11-03,21.48,21.64,20.9,21.12,21.0712502427603,230335,0.0,1.0
2023-11-02,21.72,22.5,20.2612,21.25,21.2009501732318,465323,0.0,1.0
2023-11-01,21.68,21.68,20.6,21.02,20.9714810654745,537136,0.0,1.0
2023-10-31,21.45,21.85,20.85,21.42,21.3705577746177,428599,0.0,1.0
2023-10-30,22.08,22.41,21.49,21.52,21.4703269519035,240139,0.0,1.0
2023-10-27,22.4,22.4,21.76,21.88,21.8294959901324,189519,0.0,1.0
2023-10-26,22.69,22.71,21.8,22.37,22.3183649588328,212396,0.0,1.0
2023-10-25,23.03,23.31,22.72,22.82,22.7673262566189,291958,0.0,1.0
2023-10-24,22.95,23.565,22.76,23.17,23.1165183771191,371323,0.0,1.0
2023-10-23,23.05,23.14,22.65,22.96,22.907003104819,275068,0.0,1.0
2023-10-20,23.8,23.8,22.94,23.16,23.1065414593906,283505,0.0,1.0
2023-10-19,24.17,24.38,23.7,23.83,23.7749949472054,182336,0.0,1.0
2023-10-18,24.54,24.95,24.3,24.56,24.5033099413917,171467,0.0,1.0
2023-10-17,23.76,24.74,23.171,24.32,24.2638639159058,226582,0.0,1.0
2023-10-16,24.1,24.295,23.84,24.12,24.0643255613342,128410,0.0,1.0
2023-10-13,23.95,24.27,23.57,23.95,23.8947179599484,200677,0.0,1.0
2023-10-12,23.9,23.9,23.3,23.57,23.5155950862623,133735,0.0,1.0
2023-10-11,23.39,23.76,23.19,23.63,23.5754565926338,225696,0.0,1.0
2023-10-10,23.84,24.0053,23.41,23.7,23.6452950167339,198588,0.0,1.0
2023-10-09,23.24,23.75,23.05,23.67,23.6153642635481,206464,0.0,1.0
2023-10-06,21.91,23.04,21.84,22.65,22.597718655233,463248,0.0,1.0
2023-10-05,21.9,22.66,21.9,21.92,21.8694036610467,308565,0.0,1.0
2023-10-04,22.97,23.25,22.24,22.33,22.2784572879185,319170,0.0,1.0
2023-10-03,23.3,23.57,23.1,23.4,23.3459874848765,200599,0.0,1.0
2023-10-02,23.75,23.755,22.795,23.33,23.2761490607764,305969,0.0,1.0
2023-09-29,24.62,24.73,23.95,24.01,23.9545794663198,299031,0.0,1.0
2023-09-28,25.0,25.2,24.2,24.56,24.5033099413917,342035,0.0,1.0
2023-09-27,24.04,24.94,23.95,24.93,24.8724558973492,363575,0.0,1.0
2023-09-26,23.88,24.31,23.3,23.44,23.3858951557908,206054,0.0,1.0
2023-09-25,23.81,24.4,23.5,24.01,23.9545794663198,265010,0.0,1.0
2023-09-22,24.15,24.52,23.77,24.12,24.0643255613342,193671,0.0,1.0
2023-09-21,24.34,24.695,23.73,23.83,23.7749949472054,269039,0.0,1.0
2023-09-20,23.49,24.65,23.49,24.25,24.1940254918058,279901,0.0,1.0
2023-09-19,24.63,24.645,23.4,23.74,23.6852026876482,198835,0.0,1.0
2023-09-18,24.65,24.8,23.98,24.37,24.3137485045487,361039,0.0,1.0
2023-09-15,24.41,25.155,24.03,24.83,24.7726867200634,916244,0.0,1.0
2023-09-14,24.76,24.84,24.22,24.82,24.7627098023348,297481,0.0,1.0
2023-09-13,25.59,25.74,23.98,24.34,24.283817751363,419437,0.0,1.0
2023-09-12,25.94,26.4694,25.19,25.58,25.5209555497069,409213,0.0,1.0
2023-09-11,26.02,26.12,25.28,25.52,25.4610940433354,218945,0.0,1.0
2023-09-08,26.01,26.485,25.69,25.73,25.6706093156355,313866,0.0,1.0
2023-09-07,25.75,26.305,25.515,26.11,26.0497321893216,368256,0.0,1.0
2023-09-06,24.46,25.62,24.46,25.54,25.4810478787925,291140,0.0,1.0
2023-09-05,24.81,25.41,24.41,24.46,24.4035407641059,259008,0.0,1.0
2023-09-01,24.51,25.56,24.51,24.92,24.8624789796206,390814,0.0,1.0
2023-08-31,24.11,24.22,23.77,24.04,23.9845102195056,340583,0.0,1.0
2023-08-30,24.01,24.39,23.855,23.98,23.9246487131341,230967,0.0,1.0
2023-08-29,24.73,25.4,23.99,24.08,24.0244178904199,372610,0.0,1.0
2023-08-28,23.77,24.88,23.77,24.16,24.1042332322485,248114,0.0,1.0
2023-08-25,23.79,23.985,23.36,23.7,23.6452950167339,151093,0.0,1.0
2023-08-24,23.72,24.19,23.52,23.62,23.5654796749052,203480,0.0,1.0
2023-08-23,23.4,24.31,23.15,23.99,23.9346256308627,175590,0.0,1.0
2023-08-22,23.89,24.21,23.62,23.67,23.6153642635481,255168,0.0,1.0
2023-08-21,24.75,25.01,23.634,23.96,23.9046948776769,226136,0.0,1.0
2023-08-18,23.94,24.91,23.94,24.68,24.6230329541347,235636,0.0,1.0
2023-08-17,25.17,25.4203,24.11,24.26,24.2040024095343,269380,0.0,1.0
2023-08-16,24.8,25.39,24.55,24.69,24.6330098718633,180397,0.0,1.0
2023-08-15,24.91,25.369,24.73,24.84,24.782663637792,232624,0.0,1.0
2023-08-14,25.6,25.69,24.815,25.16,25.1019250051065,368454,0.0,1.0
2023-08-11,25.76,26.27,25.65,25.79,25.730470822007,277310,0.0,1.0
2023-08-10,25.55,26.355,25.51,25.76,25.7005400688213,224698,0.0,1.0
2023-08-09,25.23,25.98,24.88,25.62,25.5608632206212,273953,0.0,1.0
2023-08-08,24.4,25.11,24.09,25.0,24.9422943214492,220769,0.0,1.0
2023-08-07,24.93,25.32,24.56,24.94,24.8824328150778,205759,0.0,1.0
2023-08-04,25.68,25.95,24.96,25.25,25.1917172646637,229247,0.01,1.0
2023-08-03,25.75,26.38,25.12,25.51,25.4410414656204,481708,0.0,1.0
2023-08-02,27.0,27.45,25.625,25.98,25.909770963419,590502,0.0,1.0
2023-08-01,25.87,27.945,25.3,27.43,27.3558513289678,677601,0.0,1.0
2023-07-31,26.22,26.57,25.74,25.99,25.9197439314573,297692,0.0,1.0
2023-07-28,24.76,26.38,24.465,26.09,26.0194736118399,597650,0.0,1.0
2023-07-27,24.75,25.205,23.4941,24.61,24.5434743421763,1003256,0.0,1.0
2023-07-26,24.29,25.25,24.25,24.8,24.7329607349034,439760,0.0,1.0
2023-07-25,24.48,24.64,23.9,24.49,24.4237987257171,345419,0.0,1.0
2023-07-24,24.56,25.41,24.03,24.68,24.6132851184442,593685,0.0,1.0
2023-07-21,24.64,24.69,24.2474,24.42,24.3539879494493,219625,0.0,1.0
2023-07-20,25.01,25.08,24.47,24.5,24.4337716937554,227657,0.0,1.0
2023-07-19,24.41,24.83,24.025,24.69,24.6232580864825,271187,0.0,1.0
2023-07-18,23.72,25.05,23.72,24.55,24.4836365339467,284821,0.0,1.0
2023-07-17,23.02,24.11,22.7,23.74,23.6758261228471,377116,0.0,1.0
2023-07-14,24.13,24.13,22.93,23.24,23.1771777209337,557734,0.0,1.0
2023-07-13,24.16,24.97,23.82,24.19,24.1246096845691,458490,0.0,1.0
2023-07-12,24.59,24.87,23.84,24.12,24.0547989083012,286792,0.0,1.0
2023-07-11,24.31,24.65,23.81,24.4,24.3340420133727,424420,0.0,1.0
2023-07-10,23.84,24.39,23.84,24.31,24.2442853010283,443600,0.0,1.0
2023-07-07,21.49,24.42,21.49,24.24,24.1744745247604,442241,0.0,1.0
2023-07-06,21.78,22.31,21.2,21.67,21.6114217389257,345931,0.0,1.0
2023-07-05,22.51,22.715,21.71,21.99,21.9305567161502,489778,0.0,1.0
2023-07-03,23.41,23.68,22.15,22.3,22.2397187253365,416928,0.0,1.0
2023-06-30,23.2,24.02,22.61,23.25,23.187150688972,1050624,0.0,1.0
2023-06-29,24.0,24.6891,24.0,24.35,24.2841771731814,298818,0.0,1.0
2023-06-28,23.59,24.19,23.2299,23.92,23.8553395475359,393586,0.0,1.0
2023-06-27,22.83,23.81,22.39,23.7,23.635934250694,259903,0.0,1.0
2023-06-26,22.76,23.55,22.52,22.79,22.7283941592116,496988,0.0,1.0
2023-06-23,22.74,23.41,22.555,22.92,22.8580427437091,7923229,0.0,1.0
2023-06-22,23.49,23.75,23.01,23.3,23.2370155291633,487128,0.0,1.0
2023-06-21,22.27,24.31,21.89,23.86,23.7955017393063,460639,0.0,1.0
2023-06-20,22.25,22.6,21.5,22.35,22.2895835655279,584590,0.0,1.0
2023-06-16,22.95,23.26,22.17,22.62,22.5588537025611,981570,0.0,1.0
2023-06-15,22.67,23.15,22.1,22.44,22.3793402778723,1398541,0.0,1.0
2023-06-14,23.56,23.845,22.72,22.92,22.8580427437091,306939,0.0,1.0
2023-06-13,22.95,24.04,22.95,23.24,23.1771777209337,344184,0.0,1.0
2023-06-12,24.19,24.49,22.79,22.8,22.7383671272499,406340,0.0,1.0
