,CRZO_Open,CRZO_High,CRZO_Low,CRZO_Close,CRZO_Adj Close,CRZO_Volume,CRZO_Dividend Amount,CRZO_Split Coefficient
2019-11-12,7.89,8.01,7.75,7.95,7.95,4429555,0.0,1.0
2019-11-11,7.62,7.955,7.495,7.8,7.8,5682704,0.0,1.0
2019-11-08,7.19,7.81,7.12,7.72,7.72,9275808,0.0,1.0
2019-11-07,7.55,7.62,7.063,7.37,7.37,11127530,0.0,1.0
2019-11-06,7.84,7.96,7.32,7.34,7.34,15858246,0.0,1.0
2019-11-05,7.81,8.795,7.47,7.92,7.92,14519999,0.0,1.0
2019-11-04,7.54,7.98,7.45,7.56,7.56,12303666,0.0,1.0
2019-11-01,7.37,7.51,6.87,7.32,7.32,21843831,0.0,1.0
2019-10-31,7.64,7.68,7.23,7.36,7.36,11467355,0.0,1.0
2019-10-30,8.28,8.34,7.64,7.685,7.685,7816119,0.0,1.0
2019-10-29,8.11,8.38,8.05,8.21,8.21,5221360,0.0,1.0
2019-10-28,8.29,8.54,8.12,8.2,8.2,3162816,0.0,1.0
2019-10-25,8.07,8.28,8.01,8.24,8.24,4604559,0.0,1.0
2019-10-24,8.19,8.22,7.89,8.12,8.12,6715619,0.0,1.0
2019-10-23,7.47,8.15,7.39,8.15,8.15,3976341,0.0,1.0
2019-10-22,7.34,7.775,7.27,7.49,7.49,6842965,0.0,1.0
2019-10-21,7.42,7.63,7.27,7.3,7.3,3074364,0.0,1.0
2019-10-18,7.99,8.15,7.46,7.47,7.47,6622324,0.0,1.0
