,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,AAPL_Dividend Amount,AAPL_Split Coefficient
2024-10-04,227.9,228.0,224.13,226.8,226.8,37345098,0.0,1.0
2024-10-03,225.14,226.805,223.32,225.67,225.67,34044158,0.0,1.0
2024-10-02,225.89,227.37,223.02,226.78,226.78,32880605,0.0,1.0
2024-10-01,229.52,229.65,223.74,226.21,226.21,63285048,0.0,1.0
2024-09-30,230.04,233.0,229.65,233.0,233.0,54793391,0.0,1.0
2024-09-27,228.46,229.52,227.3,227.79,227.79,34025967,0.0,1.0
2024-09-26,227.3,228.5,225.41,227.52,227.52,36636707,0.0,1.0
2024-09-25,224.93,227.29,224.02,226.37,226.37,42308715,0.0,1.0
2024-09-24,228.645,229.35,225.73,227.37,227.37,43556068,0.0,1.0
2024-09-23,227.34,229.45,225.81,226.47,226.47,54146023,0.0,1.0
2024-09-20,229.97,233.09,227.62,228.2,228.2,318679888,0.0,1.0
2024-09-19,224.99,229.82,224.63,228.87,228.87,66781315,0.0,1.0
2024-09-18,217.55,222.71,217.54,220.69,220.69,59894928,0.0,1.0
2024-09-17,215.75,216.9,214.5,216.79,216.79,45519339,0.0,1.0
2024-09-16,216.54,217.22,213.92,216.32,216.32,59357427,0.0,1.0
2024-09-13,223.58,224.04,221.91,222.5,222.5,36766619,0.0,1.0
2024-09-12,222.5,223.55,219.82,222.77,222.77,37498225,0.0,1.0
2024-09-11,221.455,223.09,217.89,222.66,222.66,44587072,0.0,1.0
2024-09-10,218.92,221.48,216.73,220.11,220.11,51591033,0.0,1.0
2024-09-09,220.82,221.27,216.71,220.91,220.91,67179965,0.0,1.0
2024-09-06,223.95,225.24,219.77,220.82,220.82,48423011,0.0,1.0
2024-09-05,221.625,225.48,221.52,222.38,222.38,36615398,0.0,1.0
2024-09-04,221.66,221.78,217.48,220.85,220.85,43262758,0.0,1.0
2024-09-03,228.55,229.0,221.17,222.77,222.77,50190574,0.0,1.0
2024-08-30,230.19,230.4,227.48,229.0,229.0,52990770,0.0,1.0
2024-08-29,230.1,232.92,228.88,229.79,229.79,51906297,0.0,1.0
2024-08-28,227.92,229.86,225.68,226.49,226.49,38052167,0.0,1.0
2024-08-27,225.995,228.85,224.89,228.03,228.03,35934559,0.0,1.0
