,DPZ_Open,DPZ_High,DPZ_Low,DPZ_Close,DPZ_Adj Close,DPZ_Volume,DPZ_Dividend Amount,DPZ_Split Coefficient
2024-10-04,423.15,425.505,417.79,425.31,425.31,569029,0.0,1.0
2024-10-03,422.37,422.37,415.97,420.89,420.89,443861,0.0,1.0
2024-10-02,426.26,428.325,418.57,423.2,423.2,489896,0.0,1.0
2024-10-01,429.25,431.43,424.06,430.66,430.66,497223,0.0,1.0
2024-09-30,432.0,438.5201,427.97,430.14,430.14,730349,0.0,1.0
2024-09-27,433.0,433.24,425.36,429.03,429.03,446964,0.0,1.0
2024-09-26,429.77,432.77,428.06,432.35,432.35,328311,0.0,1.0
2024-09-25,430.0,430.12,424.0,425.92,425.92,402312,0.0,1.0
2024-09-24,423.27,433.39,422.65,426.54,426.54,545850,0.0,1.0
2024-09-23,412.09,423.37,410.17,420.7,420.7,557188,0.0,1.0
2024-09-20,412.47,414.785,409.9,414.42,414.42,766950,0.0,1.0
2024-09-19,415.37,417.43,408.91,411.71,411.71,472624,0.0,1.0
2024-09-18,413.11,418.7,408.97,409.02,409.02,498879,0.0,1.0
2024-09-17,410.54,415.6,407.45,412.44,412.44,422339,0.0,1.0
2024-09-16,404.23,410.57,403.8454,408.97,408.97,766666,0.0,1.0
2024-09-13,415.1,415.1,402.0,402.52,402.52,540463,1.51,1.0
2024-09-12,411.23,412.93,404.14,405.84,404.323235403312,663367,0.0,1.0
2024-09-11,413.24,413.8,396.06,407.97,406.445274855828,1133160,0.0,1.0
2024-09-10,420.63,431.75,414.45,416.77,415.212386208945,569619,0.0,1.0
2024-09-09,408.54,423.19,408.54,420.16,418.589716605203,684571,0.0,1.0
2024-09-06,409.78,415.83,404.61,408.49,406.963331435784,618343,0.0,1.0
2024-09-05,407.83,417.645,406.34,410.26,408.726716332946,846763,0.0,1.0
2024-09-04,402.54,411.3799,400.7,405.53,404.014393980645,541586,0.0,1.0
2024-09-03,412.43,415.5,401.31,403.55,402.041793926194,652415,0.0,1.0
2024-08-30,414.37,415.7193,412.01,414.21,412.661953815311,579966,0.0,1.0
2024-08-29,415.0,416.47,405.685,412.96,411.416625498107,676092,0.0,1.0
2024-08-28,417.92,419.2,414.59,416.09,414.534927604386,479297,0.0,1.0
2024-08-27,422.09,422.81,416.19,418.41,416.846256961117,565606,0.0,1.0
2024-08-26,425.0,431.19,423.43,424.48,422.89357126946,683456,0.0,1.0
2024-08-23,418.84,426.74,416.5,425.28,423.690581392471,833479,0.0,1.0
2024-08-22,427.68,427.68,415.49,416.23,414.674404375913,749348,0.0,1.0
2024-08-21,428.4,431.94,424.41,427.7,426.101537014578,645545,0.0,1.0
2024-08-20,432.66,436.41,423.11,427.06,425.46392891617,860369,0.0,1.0
2024-08-19,442.92,444.565,429.49,432.84,431.222327054922,997751,0.0,1.0
2024-08-16,443.51,445.16,438.23,442.91,441.254691978318,502661,0.0,1.0
2024-08-15,446.04,448.27,442.68,444.58,442.918450610103,423331,0.0,1.0
2024-08-14,444.62,445.16,439.18,442.24,440.587196000297,334816,0.0,1.0
2024-08-13,446.0,449.1199,436.19,441.3,439.650709105759,750399,0.0,1.0
2024-08-12,437.5,447.64,435.95,444.9,443.237254659307,474542,0.0,1.0
2024-08-09,438.0,440.55,434.58,438.4,436.761547409846,442665,0.0,1.0
2024-08-08,427.93,440.8599,427.93,437.61,435.974499913373,532201,0.0,1.0
2024-08-07,429.66,435.75,425.86,427.57,425.972022869589,573543,0.0,1.0
2024-08-06,433.26,437.5,427.67,428.98,427.376753211395,657945,0.0,1.0
2024-08-05,419.55,438.07,418.0,429.22,427.615856248298,769763,0.0,1.0
2024-08-02,423.6,429.0,420.73,429.0,427.39667846447,550942,0.0,1.0
2024-08-01,430.0,431.54,421.77,426.64,425.045498601589,590142,0.0,1.0
2024-07-31,435.0,435.0,425.37,428.7,427.097799668341,842824,0.0,1.0
2024-07-30,427.82,431.0185,425.42,429.15,427.546117862535,524362,0.0,1.0
2024-07-29,422.65,430.61,417.47,428.13,426.529929955696,759428,0.0,1.0
2024-07-26,425.0,425.86,415.09,417.45,415.889844813504,810348,0.0,1.0
2024-07-25,423.84,426.11,417.23,425.17,423.580992500557,958140,0.0,1.0
2024-07-24,422.0,427.35,418.73,424.73,423.142636932901,1087678,0.0,1.0
2024-07-23,418.77,433.38,417.0,422.94,421.359326782665,1605906,0.0,1.0
2024-07-22,403.12,419.035,401.3,415.55,413.996945771354,1651205,0.0,1.0
2024-07-19,407.34,411.72,400.03,404.17,402.659476771527,1613474,0.0,1.0
2024-07-18,409.8,434.98,406.16,409.04,407.511275895354,3127805,0.0,1.0
2024-07-17,486.36,489.4001,472.6,473.27,471.501226146573,956478,0.0,1.0
2024-07-16,485.0,492.6299,482.88,489.85,488.019260945969,573021,0.0,1.0
2024-07-15,491.6,492.82,482.85,483.03,481.224749647303,581330,0.0,1.0
2024-07-12,476.68,496.23,476.68,491.48,489.643169071604,720592,0.0,1.0
2024-07-11,481.11,485.01,472.19,473.09,471.321898868896,421256,0.0,1.0
2024-07-10,477.9,480.02,470.5,477.99,476.203585872336,626422,0.0,1.0
2024-07-09,500.35,501.445,476.87,477.83,476.044183847734,757492,0.0,1.0
2024-07-08,508.57,509.09,498.3925,500.33,498.460093557409,614328,0.0,1.0
2024-07-05,494.89,496.85,490.29,493.73,491.884760042571,362634,0.0,1.0
2024-07-03,493.77,500.93,492.9,497.33,495.471305596119,221324,0.0,1.0
2024-07-02,504.72,504.72,491.07,492.61,490.768945870356,443368,0.0,1.0
2024-07-01,516.37,516.37,498.41,505.35,503.461332079301,472224,0.0,1.0
2024-06-28,516.29,521.495,512.85,516.33,514.400296017623,882798,0.0,1.0
2024-06-27,519.92,519.995,514.32,515.99,514.061566715343,267021,0.0,1.0
2024-06-26,526.66,526.66,519.35,519.37,517.428934485063,255030,0.0,1.0
2024-06-25,532.52,532.76,522.87,527.87,525.897167042051,332999,0.0,1.0
2024-06-24,520.77,535.26,518.5801,533.42,531.426424770438,500161,0.0,1.0
2024-06-21,526.94,527.83,514.04,521.83,519.879740613321,859944,0.0,1.0
2024-06-20,534.0,534.0,522.42,525.0,523.037893225751,401506,0.0,1.0
2024-06-18,532.25,535.98,527.82,533.64,531.645602554266,356287,0.0,1.0
2024-06-17,522.28,534.4499,520.875,532.16,530.171133826696,427949,0.0,1.0
2024-06-14,525.2,529.7299,521.4,521.41,519.46131029874,374150,1.51,1.0
2024-06-13,538.37,538.37,524.28,528.75,525.252749599286,401646,0.0,1.0
2024-06-12,532.04,538.44,529.72,531.4,527.885222008626,387846,0.0,1.0
2024-06-11,526.55,528.2,519.87,527.95,524.45804094741,411033,0.0,1.0
2024-06-10,513.0,526.93,511.505,526.55,523.067300806627,511521,0.0,1.0
2024-06-07,511.51,518.434,510.53,513.55,510.153285213643,269135,0.0,1.0
2024-06-06,519.26,522.02,510.3854,513.69,510.292359227721,319504,0.0,1.0
2024-06-05,521.94,524.27,516.42,517.1,513.679804856342,367203,0.0,1.0
2024-06-04,522.77,527.175,516.55,520.98,517.534141817941,485837,0.0,1.0
2024-06-03,505.5,524.24,504.0,522.98,519.520913447631,682844,0.0,1.0
2024-05-31,508.58,509.62,499.5,508.58,505.216157713863,966445,0.0,1.0
2024-05-30,514.24,514.95,503.89,509.1,505.732718337582,332669,0.0,1.0
2024-05-29,507.5,510.8299,505.27,510.01,506.636699429091,478576,0.0,1.0
2024-05-28,500.82,509.45,500.82,509.08,505.712850621285,411691,0.0,1.0
2024-05-24,503.74,505.56,500.745,502.16,498.838620782558,368274,0.0,1.0
2024-05-23,513.38,513.38,501.21,502.13,498.808819208113,442088,0.0,1.0
2024-05-22,513.63,515.09,508.35,511.92,508.534066335445,338333,0.0,1.0
2024-05-21,517.23,518.0,511.145,513.72,510.322160802166,202857,0.0,1.0
2024-05-20,513.1,518.25,511.58,516.08,512.6665513252,268602,0.0,1.0
2024-05-17,514.09,519.99,512.18,513.03,509.636724589923,343515,0.0,1.0
2024-05-16,514.29,521.6899,512.75,513.3,509.904938759931,389977,0.0,1.0
2024-05-15,511.68,521.67,511.68,517.68,514.255968628952,503414,0.0,1.0
2024-05-14,511.04,514.1,503.03,510.71,507.332069499483,411374,0.0,1.0
2024-05-13,519.35,522.7399,509.79,510.24,506.865178166506,439506,0.0,1.0
2024-05-10,519.69,522.135,516.4,518.65,515.219552869352,224527,0.0,1.0
2024-05-09,517.09,520.5599,514.48,517.26,513.838746586718,268637,0.0,1.0
2024-05-08,515.48,522.12,515.48,516.67,513.252648955959,399446,0.0,1.0
2024-05-07,520.89,522.81,517.05,517.23,513.808945012272,496024,0.0,1.0
2024-05-06,516.87,525.615,515.17,522.38,518.924881958724,419280,0.0,1.0
2024-05-03,518.3,518.9899,509.08,514.33,510.928126149222,583565,0.0,1.0
2024-05-02,517.32,520.015,511.695,512.7,509.308907271024,470021,0.0,1.0
2024-05-01,525.58,528.99,515.0,516.42,513.004302502248,690470,0.0,1.0
2024-04-30,528.41,542.7499,522.9116,529.27,525.769310223006,1314496,0.0,1.0
2024-04-29,530.3,539.99,508.29,527.13,523.643464579238,1903785,0.0,1.0
2024-04-26,492.37,502.63,491.28,499.07,495.769058614687,958086,0.0,1.0
2024-04-25,487.97,498.44,484.665,494.77,491.497499610854,661670,0.0,1.0
2024-04-24,479.61,488.84,478.04,487.71,484.484195758048,719359,0.0,1.0
2024-04-23,475.59,483.51,471.605,481.16,477.977518670814,663590,0.0,1.0
2024-04-22,477.45,477.45,469.17,471.28,468.162866820145,578210,0.0,1.0
2024-04-19,483.32,483.32,469.99,473.55,470.417852619843,590272,0.0,1.0
2024-04-18,483.08,487.4429,478.57,481.66,478.474211578236,350554,0.0,1.0
2024-04-17,490.33,490.33,479.61,482.05,478.861632046026,328702,0.0,1.0
2024-04-16,489.19,489.5799,484.11,486.65,483.431206794312,346095,0.0,1.0
2024-04-15,498.88,500.18,487.94,488.02,484.79214536065,406304,0.0,1.0
2024-04-12,500.83,502.595,494.915,495.31,492.03392795087,475739,0.0,1.0
2024-04-11,507.93,507.93,498.51,504.52,501.183011305592,408298,0.0,1.0
2024-04-10,493.85,507.925,491.09,506.83,503.477732537884,771788,0.0,1.0
2024-04-09,500.1,501.14,493.96,498.45,495.153159409483,555243,0.0,1.0
2024-04-08,492.75,503.19,492.75,501.98,498.659811335886,762547,0.0,1.0
2024-04-05,485.0,494.955,485.0,493.2,489.937883881547,690713,0.0,1.0
2024-04-04,506.0,506.0,482.78,482.86,479.66627455605,841519,0.0,1.0
2024-04-03,495.89,508.44,494.82,505.86,502.514148297485,1024918,0.0,1.0
2024-04-02,493.3,498.21,487.95,497.26,493.971030289818,513003,0.0,1.0
2024-04-01,495.05,498.1,492.13,493.92,490.653121668236,618751,0.0,1.0
2024-03-28,493.73,497.14,489.77,496.88,493.593543680177,668820,0.0,1.0
2024-03-27,485.86,493.19,485.06,492.13,488.874961059663,997421,0.0,1.0
2024-03-26,471.44,483.49,467.34,483.0,479.805348570128,955853,0.0,1.0
2024-03-25,458.95,467.0,458.01,465.11,462.033676342552,521259,0.0,1.0
2024-03-22,457.0,459.38,454.39,458.42,455.387925241239,395962,0.0,1.0
2024-03-21,451.05,456.64,448.21,455.87,452.854791413384,591953,0.0,1.0
2024-03-20,445.8,451.83,445.11,451.72,448.732240281777,366013,0.0,1.0
2024-03-19,443.95,445.13,440.25,444.9,441.957349024534,427710,0.0,1.0
2024-03-18,442.46,446.03,440.37,442.79,439.861304955211,430918,0.0,1.0
2024-03-15,440.27,445.7126,439.99,441.22,438.301689225905,512128,0.0,1.0
