,BFH_Open,BFH_High,BFH_Low,BFH_Close,BFH_Adj Close,BFH_Volume,BFH_Dividend Amount,BFH_Split Coefficient
2024-10-01,47.24,47.59,45.8625,46.45,46.45,584497,0.0,1.0
2024-09-30,46.22,47.6976,45.76,47.58,47.58,1396352,0.0,1.0
2024-09-27,47.25,47.44,46.16,46.73,46.73,652739,0.0,1.0
2024-09-26,46.63,47.02,46.1,46.6,46.6,840366,0.0,1.0
2024-09-25,47.25,47.51,46.1,46.51,46.51,945153,0.0,1.0
2024-09-24,50.8,50.85,46.87,47.0,47.0,2163239,0.0,1.0
2024-09-23,52.69,53.19,50.7,50.83,50.83,1151790,0.0,1.0
2024-09-20,52.85,53.3,52.0427,52.47,52.47,1340782,0.0,1.0
2024-09-19,53.88,54.36,52.53,53.06,53.06,1284529,0.0,1.0
2024-09-18,52.57,54.09,51.755,52.4,52.4,1078715,0.0,1.0
2024-09-17,49.77,52.375,49.77,52.27,52.27,1133575,0.0,1.0
2024-09-16,48.15,49.655,48.15,49.3,49.3,753482,0.0,1.0
2024-09-13,47.8,49.21,47.6,48.1,48.1,1238447,0.0,1.0
2024-09-12,47.22,48.47,47.11,47.4,47.4,1622848,0.0,1.0
2024-09-11,47.47,47.675,45.84,46.77,46.77,2018989,0.0,1.0
2024-09-10,52.67,52.75,47.25,47.9,47.9,2728536,0.0,1.0
2024-09-09,55.83,56.27,52.45,53.91,53.91,2474402,0.0,1.0
2024-09-06,56.93,58.19,55.43,55.52,55.52,789812,0.0,1.0
2024-09-05,57.52,58.31,56.19,56.72,56.72,610521,0.0,1.0
2024-09-04,57.84,58.81,56.635,56.8,56.8,925618,0.0,1.0
2024-09-03,57.27,58.71,56.93,57.51,57.51,972220,0.0,1.0
2024-08-30,58.5,59.66,58.095,58.17,58.17,731538,0.0,1.0
2024-08-29,58.0,59.07,57.79,58.6,58.6,673940,0.0,1.0
2024-08-28,56.58,57.88,56.58,57.6,57.6,645480,0.0,1.0
2024-08-27,55.83,57.2,55.83,57.11,57.11,678981,0.0,1.0
2024-08-26,56.87,57.44,56.26,56.3,56.3,885521,0.0,1.0
2024-08-23,55.03,56.78,55.03,56.53,56.53,773329,0.0,1.0
2024-08-22,54.74,55.63,54.47,54.58,54.58,787554,0.0,1.0
2024-08-21,55.26,55.83,54.18,54.51,54.51,773567,0.0,1.0
2024-08-20,55.02,55.8,54.741,55.15,55.15,789385,0.0,1.0
2024-08-19,54.29,55.48,54.17,55.33,55.33,894251,0.0,1.0
2024-08-16,53.42,54.9,53.36,54.27,54.27,742619,0.0,1.0
2024-08-15,53.86,54.86,53.24,53.46,53.46,1172822,0.0,1.0
2024-08-14,51.56,52.53,51.365,52.41,52.41,656026,0.0,1.0
2024-08-13,50.56,51.34,50.13,51.09,51.09,615850,0.0,1.0
2024-08-12,51.2,51.29,49.61,49.93,49.93,1101693,0.0,1.0
2024-08-09,49.74,52.09,49.74,51.1,51.1,2140160,0.21,1.0
2024-08-08,45.97,48.28,45.78,47.73,47.5346521145975,869105,0.0,1.0
2024-08-07,45.36,46.02,44.57,45.17,44.9851296043656,590747,0.0,1.0
2024-08-06,44.49,45.85,44.28,44.5,44.3178717598909,1344022,0.0,1.0
2024-08-05,43.61,45.23,42.745,44.52,44.3377899045021,1433432,0.0,1.0
2024-08-02,49.38,49.6888,45.91,46.36,46.1702592087312,2350570,0.0,1.0
2024-08-01,54.55,54.97,50.5,50.78,50.5721691678036,1538067,0.0,1.0
2024-07-31,54.44,55.68,54.03,54.58,54.3566166439291,655980,0.0,1.0
2024-07-30,53.89,54.9,53.52,54.41,54.187312414734,1157867,0.0,1.0
2024-07-29,55.22,55.45,52.895,53.09,52.8727148703956,696992,0.0,1.0
2024-07-26,53.15,55.08,52.62,55.0,54.774897680764,1346750,0.0,1.0
2024-07-25,52.3,52.93,50.9719,52.32,52.1058663028649,1206719,0.0,1.0
2024-07-24,51.06,51.77,50.27,50.31,50.1040927694407,934443,0.0,1.0
2024-07-23,50.24,52.04,50.24,51.62,51.4087312414734,837619,0.0,1.0
2024-07-22,50.57,50.7,49.42,50.24,50.0343792633015,571988,0.0,1.0
2024-07-19,50.72,51.11,50.12,50.71,50.5024556616644,542194,0.0,1.0
