,OXM_Open,OXM_High,OXM_Low,OXM_Close,OXM_Adj Close,OXM_Volume,OXM_Dividend Amount,OXM_Split Coefficient
2024-10-04,79.04,79.59,76.18,76.72,76.72,409837,0.0,1.0
2024-10-03,80.66,80.8,77.235,77.65,77.65,414169,0.0,1.0
2024-10-02,83.41,83.93,81.28,81.39,81.39,296726,0.0,1.0
2024-10-01,85.65,85.65,83.005,83.92,83.92,317400,0.0,1.0
2024-09-30,85.78,86.84,84.45,86.76,86.76,396792,0.0,1.0
2024-09-27,86.86,87.52,85.67,86.44,86.44,271165,0.0,1.0
2024-09-26,86.06,87.27,84.35,86.02,86.02,275878,0.0,1.0
2024-09-25,87.22,87.24,84.56,84.67,84.67,409264,0.0,1.0
2024-09-24,86.94,87.85,86.1245,87.39,87.39,239246,0.0,1.0
2024-09-23,86.72,87.38,86.05,86.27,86.27,374624,0.0,1.0
2024-09-20,87.53,88.23,86.38,86.54,86.54,1142620,0.0,1.0
2024-09-19,87.6,88.545,86.455,87.28,87.28,381600,0.0,1.0
2024-09-18,85.62,87.895,84.96,86.06,86.06,382731,0.0,1.0
2024-09-17,85.21,86.71,84.64,85.52,85.52,321173,0.0,1.0
2024-09-16,84.81,85.47,83.95,84.55,84.55,485528,0.0,1.0
2024-09-13,85.33,86.85,84.21,85.15,85.15,588347,0.0,1.0
2024-09-12,75.65,85.67,74.95,84.09,84.09,1398642,0.0,1.0
2024-09-11,83.65,84.31,80.83,83.66,83.66,955466,0.0,1.0
2024-09-10,82.49,83.79,81.37,83.37,83.37,439450,0.0,1.0
2024-09-09,83.36,84.39,81.69,81.88,81.88,359449,0.0,1.0
2024-09-06,84.22,84.87,82.93,83.57,83.57,216669,0.0,1.0
2024-09-05,85.43,85.965,84.0875,84.38,84.38,260713,0.0,1.0
2024-09-04,86.99,86.99,84.77,85.54,85.54,231982,0.0,1.0
2024-09-03,86.81,88.45,85.74,87.3,87.3,325049,0.0,1.0
2024-08-30,86.49,87.03,84.77,86.98,86.98,313155,0.0,1.0
2024-08-29,85.81,86.11,82.72,85.84,85.84,424601,0.0,1.0
2024-08-28,83.65,84.86,83.2478,84.46,84.46,438387,0.0,1.0
2024-08-27,85.02,85.08,83.07,83.76,83.76,219020,0.0,1.0
2024-08-26,88.59,88.59,85.19,85.32,85.32,294545,0.0,1.0
2024-08-23,86.61,89.17,86.61,87.77,87.77,251225,0.0,1.0
2024-08-22,88.0,88.48,85.93,86.19,86.19,200956,0.0,1.0
2024-08-21,86.79,88.47,86.1,88.02,88.02,279196,0.0,1.0
2024-08-20,86.23,86.51,84.95,85.6,85.6,246782,0.0,1.0
2024-08-19,90.04,90.3,85.71,86.18,86.18,436331,0.0,1.0
2024-08-16,89.54,90.495,88.885,89.66,89.66,246564,0.0,1.0
2024-08-15,91.28,93.72,89.29,89.68,89.68,318268,0.0,1.0
2024-08-14,90.98,91.09,88.45,88.66,88.66,210928,0.0,1.0
2024-08-13,91.47,92.47,90.23,90.3,90.3,308649,0.0,1.0
2024-08-12,92.8,92.8,90.37,90.49,90.49,256762,0.0,1.0
2024-08-09,93.75,93.75,91.97,92.58,92.58,170891,0.0,1.0
2024-08-08,94.85,95.27,93.605,94.1,94.1,134855,0.0,1.0
2024-08-07,95.99,96.68,93.33,93.57,93.57,189704,0.0,1.0
2024-08-06,93.66,95.525,92.1,94.64,94.64,232012,0.0,1.0
2024-08-05,91.61,94.83,91.61,93.37,93.37,318264,0.0,1.0
2024-08-02,96.62,98.64,95.38,96.74,96.74,238774,0.0,1.0
2024-08-01,105.07,105.84,99.9,100.29,100.29,215142,0.0,1.0
2024-07-31,104.0,108.51,104.0,105.33,105.33,339486,0.0,1.0
2024-07-30,103.27,106.82,102.8,106.5,106.5,296611,0.0,1.0
2024-07-29,102.61,103.68,101.57,103.15,103.15,145451,0.0,1.0
2024-07-26,102.13,104.035,101.3,102.39,102.39,189534,0.0,1.0
2024-07-25,99.51,101.53,97.9,100.64,100.64,158152,0.0,1.0
2024-07-24,100.13,101.21,98.77,99.03,99.03,274472,0.0,1.0
2024-07-23,97.96,101.39,97.685,100.66,100.66,244719,0.0,1.0
2024-07-22,98.78,99.75,96.85,98.79,98.79,184601,0.0,1.0
2024-07-19,100.16,100.72,98.01,98.55,98.55,138910,0.67,1.0
2024-07-18,103.93,105.74,100.91,101.02,100.337845192502,135488,0.0,1.0
2024-07-17,102.29,104.98,102.29,104.39,103.685088691796,166628,0.0,1.0
2024-07-16,102.5,103.845,101.5,103.1,102.40379963717,251484,0.0,1.0
2024-07-15,101.88,103.87,101.33,101.35,100.665616811127,230158,0.0,1.0
2024-07-12,101.21,102.805,101.08,101.88,101.192037895586,224343,0.0,1.0
2024-07-11,98.9,100.91,97.88,100.48,99.8014916347511,227592,0.0,1.0
2024-07-10,96.25,96.9699,95.68,96.34,95.6894476919976,172358,0.0,1.0
2024-07-09,97.04,97.04,95.5,95.53,94.8849173553719,147768,0.0,1.0
2024-07-08,97.91,98.76,97.5,97.6,96.9409393267486,198728,0.0,1.0
2024-07-05,98.57,99.77,97.11,97.56,96.9012094335819,167430,0.0,1.0
2024-07-03,99.98,100.44,98.27,99.01,98.3414180608748,83937,0.0,1.0
2024-07-02,99.22,101.17,98.62,100.1,99.4240576496674,270557,0.0,1.0
2024-07-01,100.39,100.39,98.11,98.95,98.2818232211248,306997,0.0,1.0
2024-06-28,98.18,100.33,98.18,100.15,99.4737200161258,373489,0.0,1.0
2024-06-27,98.98,99.45,96.59,97.85,97.1892511590405,315528,0.0,1.0
2024-06-26,100.65,100.86,98.63,99.58,98.9075690385003,329196,0.0,1.0
2024-06-25,102.76,102.95,99.91,100.57,99.8908838943761,311838,0.0,1.0
2024-06-24,99.93,103.68,99.59,102.95,102.254812537795,352723,0.0,1.0
2024-06-21,100.49,100.735,99.18,100.47,99.7915591614594,1574089,0.0,1.0
2024-06-20,100.08,101.81,99.555,100.32,99.6425720620842,420514,0.0,1.0
2024-06-18,101.5,101.93,99.55,100.7,100.020006047168,283788,0.0,1.0
2024-06-17,99.44,101.85,97.55,101.83,101.142375529127,499765,0.0,1.0
2024-06-14,101.2,101.54,98.91,99.42,98.7486494658335,640257,0.0,1.0
2024-06-13,97.7,102.51,94.84,101.85,101.162240475711,951789,0.0,1.0
2024-06-12,104.69,104.9,100.24,101.02,100.337845192502,714807,0.0,1.0
2024-06-11,101.56,102.11,100.34,102.02,101.331092521669,256642,0.0,1.0
2024-06-10,100.91,101.96,100.0,101.83,101.142375529127,349334,0.0,1.0
2024-06-07,102.5,103.51,102.15,102.8,102.10582543842,295076,0.0,1.0
2024-06-06,107.58,107.58,103.01,103.59,102.890490828462,345392,0.0,1.0
2024-06-05,106.51,107.47,105.71,107.35,106.625100786132,199064,0.0,1.0
2024-06-04,108.36,109.48,106.08,106.24,105.522596250756,244807,0.0,1.0
2024-06-03,110.59,111.44,108.79,109.22,108.482473291675,402474,0.0,1.0
2024-05-31,108.33,110.73,108.33,110.69,109.942546865551,230490,0.0,1.0
2024-05-30,107.42,108.155,106.5,107.38,106.654898206007,324244,0.0,1.0
2024-05-29,106.24,107.13,104.61,106.8,106.07881475509,245989,0.0,1.0
2024-05-28,107.23,108.22,106.47,107.09,106.366856480548,260559,0.0,1.0
2024-05-24,105.41,106.24,104.25,106.0,105.284216891756,257155,0.0,1.0
2024-05-23,105.05,105.275,102.22,104.11,103.406979439629,431177,0.0,1.0
2024-05-22,107.0,108.36,105.22,105.55,104.83725559363,300408,0.0,1.0
2024-05-21,107.44,107.635,105.65,107.56,106.833682725257,165701,0.0,1.0
2024-05-20,105.86,107.8022,105.86,107.58,106.85354767184,182510,0.0,1.0
2024-05-17,107.3,107.3,104.77,105.9,105.184892158839,167389,0.0,1.0
2024-05-16,106.47,107.91,106.185,107.33,106.605235839548,164463,0.0,1.0
2024-05-15,108.24,108.24,105.35,106.57,105.850367869381,178144,0.0,1.0
2024-05-14,111.25,111.25,107.23,107.53,106.803885305382,187376,0.0,1.0
2024-05-13,110.41,111.46,108.81,109.04,108.303688772425,130546,0.0,1.0
2024-05-10,110.27,110.27,108.66,109.24,108.502338238258,104031,0.0,1.0
2024-05-09,107.27,110.2,106.75,110.08,109.336665994759,119617,0.0,1.0
2024-05-08,106.62,108.33,106.575,106.73,106.009287442048,152418,0.0,1.0
2024-05-07,108.88,110.52,107.59,107.62,106.893277565007,182755,0.0,1.0
2024-05-06,109.81,110.16,108.58,108.75,108.015647046966,176938,0.0,1.0
2024-05-03,110.7,110.73,108.02,108.82,108.085174360008,132736,0.0,1.0
2024-05-02,109.27,109.68,107.71,108.84,108.105039306591,174551,0.0,1.0
2024-05-01,108.12,108.83,105.61,107.61,106.883345091715,177637,0.0,1.0
2024-04-30,108.81,110.6,107.56,107.78,107.052197137674,237384,0.0,1.0
2024-04-29,107.7,110.835,106.71,109.94,109.197611368676,302145,0.0,1.0
2024-04-26,106.21,108.07,106.2,106.71,105.989422495465,165107,0.0,1.0
2024-04-25,105.89,106.5,104.3,105.75,105.035905059464,179728,0.0,1.0
2024-04-24,107.36,108.5,106.18,107.25,106.525776053215,163089,0.0,1.0
2024-04-23,103.76,108.43,103.76,107.77,107.042264664382,234728,0.0,1.0
2024-04-22,105.06,106.2,103.81,103.85,103.148735134046,220151,0.0,1.0
2024-04-19,102.55,105.3925,102.55,104.72,104.012860310421,223099,0.0,1.0
2024-04-18,102.35,104.64,101.96,103.12,102.423664583753,189288,0.67,1.0
2024-04-17,104.06,105.01,102.16,102.42,101.071699842644,229735,0.0,1.0
2024-04-16,101.69,103.2,101.31,103.01,101.653932833341,227962,0.0,1.0
2024-04-15,105.57,105.57,101.63,102.52,101.170383400389,334653,0.0,1.0
2024-04-12,107.71,108.77,105.04,105.05,103.667077411343,306198,0.0,1.0
2024-04-11,107.91,109.17,107.35,109.07,107.6341564327,173741,0.0,1.0
2024-04-10,107.74,108.75,106.48,107.43,106.015746085679,223390,0.0,1.0
2024-04-09,109.26,110.14,107.91,110.05,108.601255298603,178321,0.0,1.0
2024-04-08,105.38,108.58,105.07,108.48,107.051923442004,322151,0.0,1.0
2024-04-05,104.49,106.0,103.75,105.56,104.170363555843,390865,0.0,1.0
2024-04-04,106.18,106.18,104.36,104.77,103.390763449656,234939,0.0,1.0
2024-04-03,105.0,105.72,103.82,104.62,103.242738113038,283229,0.0,1.0
2024-04-02,106.92,109.22,104.5501,105.54,104.150626844294,455446,0.0,1.0
2024-04-01,100.95,109.94,99.92,108.28,106.854556326513,835091,0.0,1.0
2024-03-28,112.66,113.88,111.57,112.4,110.920318905616,308268,0.0,1.0
2024-03-27,109.34,112.71,109.34,112.47,110.989397396037,254722,0.0,1.0
2024-03-26,109.78,110.24,108.04,108.12,106.696662634121,192458,0.0,1.0
2024-03-25,110.35,111.99,109.5,109.57,108.127574221426,199239,0.0,1.0
2024-03-22,111.15,111.26,109.28,109.74,108.295336269593,175064,0.0,1.0
2024-03-21,110.61,111.95,109.4,111.77,110.298612491821,171178,0.0,1.0
2024-03-20,106.75,111.09,106.48,110.53,109.07493637578,254923,0.0,1.0
2024-03-19,103.43,106.913,103.43,106.63,105.226277623717,186402,0.0,1.0
2024-03-18,105.34,106.16,102.55,103.58,102.216429112488,195036,0.0,1.0
2024-03-15,104.74,106.77,104.74,106.08,104.683518056119,813015,0.0,1.0
2024-03-14,106.74,107.04,104.08,104.8,103.42036851698,186269,0.0,1.0
2024-03-13,105.91,107.32,105.51,106.43,105.028910508227,169370,0.0,1.0
2024-03-12,105.56,107.0,104.795,106.29,104.890753527384,172432,0.0,1.0
2024-03-11,105.46,106.09,104.38,104.92,103.538788786274,186371,0.0,1.0
2024-03-08,105.95,108.11,105.44,105.73,104.33812560401,284993,0.0,1.0
2024-03-07,104.34,105.43,103.23,104.6,103.223001401489,249345,0.0,1.0
2024-03-06,100.34,104.33,99.81,104.15,102.778925391636,413003,0.0,1.0
2024-03-05,97.06,98.49,96.88,97.42,96.1375219553834,153223,0.0,1.0
2024-03-04,101.7,101.7,96.27,97.41,96.1276535996089,241262,0.0,1.0
2024-03-01,101.76,102.58,100.5,101.94,100.598018765467,126726,0.0,1.0
2024-02-29,101.67,101.73,100.09,101.39,100.055259197868,155566,0.0,1.0
2024-02-28,102.09,102.12,99.9,100.83,99.502631274495,91541,0.0,1.0
2024-02-27,102.18,104.23,102.18,103.32,101.959851862351,171274,0.0,1.0
2024-02-26,100.0,101.78,99.735,101.27,99.936838928574,97674,0.0,1.0
2024-02-23,99.96,100.805,98.9301,100.02,98.7032944567588,120363,0.0,1.0
2024-02-22,99.5,99.755,98.96,99.52,98.2098766680328,147204,0.0,1.0
2024-02-21,99.66,100.65,98.51,99.27,97.9631677736698,153869,0.0,1.0
2024-02-20,98.68,99.65,98.2,99.61,98.2986918700035,111991,0.0,1.0
2024-02-16,98.68,100.1,98.48,99.63,98.3184285815525,113355,0.0,1.0
2024-02-15,100.24,100.655,99.17,99.62,98.308560225778,152319,0.0,1.0
2024-02-14,97.27,99.245,95.84,98.97,97.6671171004341,112983,0.0,1.0
2024-02-13,96.93,97.64,95.375,95.82,94.55858503146,133443,0.0,1.0
2024-02-12,98.34,101.845,98.34,100.55,99.2263173128085,147132,0.0,1.0
2024-02-09,96.63,98.74,96.05,98.23,96.9368587731196,117765,0.0,1.0
2024-02-08,94.89,96.754,94.755,96.65,95.3776585607453,142252,0.0,1.0
2024-02-07,94.96,95.05,93.44,94.54,93.2954354923214,89386,0.0,1.0
2024-02-06,95.48,96.725,95.0,95.21,93.9566153292142,85104,0.0,1.0
2024-02-05,95.08,96.14,93.33,95.87,94.6079268103326,177703,0.0,1.0
2024-02-02,95.5,97.49,94.34,96.16,94.8941091277937,138540,0.0,1.0
2024-02-01,95.96,97.5,94.6974,97.0,95.7230510128535,123583,0.0,1.0
2024-01-31,97.78,98.95,94.65,94.93,93.6803013675277,138231,0.0,1.0
2024-01-30,98.31,99.565,97.99,98.35,97.0552790424138,124542,0.0,1.0
2024-01-29,96.67,99.41,96.12,99.06,97.7559323024048,91971,0.0,1.0
2024-01-26,97.22,97.97,96.38,96.57,95.2987117145491,89659,0.0,1.0
2024-01-25,95.94,96.53,95.19,96.42,95.1506863779313,109228,0.0,1.0
2024-01-24,97.03,97.05,94.84,95.11,93.857931771469,103435,0.0,1.0
2024-01-23,99.23,99.28,95.82,96.07,94.8052939258231,138685,0.0,1.0
2024-01-22,97.5,98.67,96.76,97.85,96.5618612536878,205540,0.0,1.0
2024-01-19,96.52,97.255,95.48,96.76,95.486210474265,128230,0.0,1.0
2024-01-18,96.25,96.25,94.01,96.24,94.9730559739899,130514,0.65,1.0
2024-01-17,95.25,96.26,94.17,96.13,94.2280923808406,159185,0.0,1.0
2024-01-16,94.66,96.605,93.97,96.43,94.5221569570838,161812,0.0,1.0
2024-01-12,97.23,98.7,95.47,95.64,93.7477869063102,123920,0.0,1.0
2024-01-11,96.51,96.8819,94.55,96.63,94.7182000079125,153661,0.0,1.0
2024-01-10,97.37,97.855,96.6,97.01,95.0906818044872,205201,0.0,1.0
2024-01-09,98.4,99.6,97.0,97.66,95.7278217196806,138364,0.0,1.0
2024-01-08,97.32,100.1,96.77,99.71,97.7372629906753,178557,0.0,1.0
2024-01-05,97.03,99.59,96.65,96.94,95.0220667366971,172807,0.0,1.0
2024-01-04,96.4,97.68,95.0,97.61,95.6788109569734,205247,0.0,1.0
2024-01-03,99.36,99.48,96.36,96.42,94.5123548045423,181425,0.0,1.0
2024-01-02,99.14,100.67,98.73,100.02,98.0411297194599,175526,0.0,1.0
2023-12-29,102.97,103.58,99.98,100.0,98.021525414377,143971,0.0,1.0
2023-12-28,102.24,103.39,101.54,102.93,100.893556109018,104482,0.0,1.0
2023-12-27,102.97,103.41,102.09,102.84,100.805336736145,72961,0.0,1.0
2023-12-26,102.61,103.47,101.9975,103.23,101.187620685261,91449,0.0,1.0
2023-12-22,101.62,102.42,98.76,102.1,100.079977448079,136022,0.0,1.0
2023-12-21,102.26,102.69,100.98,101.08,99.0801578888523,231772,0.0,1.0
2023-12-20,101.75,103.35,100.48,100.92,98.9233234481893,182070,0.0,1.0
2023-12-19,101.71,102.11,100.39,101.82,99.8055171769187,143859,0.0,1.0
2023-12-18,100.93,101.77,99.99,100.44,98.4528201262003,138870,0.0,1.0
2023-12-15,102.5,102.79,100.05,100.76,98.7664890075263,440886,0.0,1.0
2023-12-14,99.24,102.71,98.56,102.15,100.128988210786,249161,0.0,1.0
2023-12-13,96.0,97.87,93.73,97.81,95.8748540078022,180062,0.0,1.0
2023-12-12,95.85,96.475,94.73,96.0,94.100664397802,138518,0.0,1.0
