,NEU_Open,NEU_High,NEU_Low,NEU_Close,NEU_Adj Close,NEU_Volume,NEU_Dividend Amount,NEU_Split Coefficient
2024-10-04,533.36,533.36,524.16,529.29,529.29,23510,0.0,1.0
2024-10-03,540.4,540.4,529.455,529.6,529.6,19568,0.0,1.0
2024-10-02,548.02,551.18,537.835,539.97,539.97,24422,0.0,1.0
2024-10-01,552.42,552.42,544.93,547.01,547.01,22909,0.0,1.0
2024-09-30,550.01,551.89,545.58,551.89,551.89,24663,0.0,1.0
2024-09-27,560.0,560.0,551.935,552.73,552.73,15783,0.0,1.0
2024-09-26,551.32,560.2,551.04,557.3,557.3,20122,0.0,1.0
2024-09-25,558.04,559.8,548.68,550.16,550.16,25539,0.0,1.0
2024-09-24,552.9,562.1,552.9,556.03,556.03,29308,0.0,1.0
2024-09-23,542.1,554.41,542.1,553.46,553.46,50680,0.0,1.0
2024-09-20,545.13,548.535,539.565,540.12,540.12,239669,0.0,1.0
2024-09-19,553.83,559.865,550.51,553.98,553.98,26548,0.0,1.0
2024-09-18,555.295,558.29,547.55,548.04,548.04,25223,0.0,1.0
2024-09-17,560.48,563.625,554.5,554.5,554.5,25749,0.0,1.0
2024-09-16,559.98,565.46,557.04,560.6,560.6,21971,2.5,1.0
2024-09-13,558.33,559.905,551.6,557.21,554.736149884568,32147,0.0,1.0
2024-09-12,555.44,558.92,548.59,552.78,550.325817794353,24036,0.0,1.0
2024-09-11,563.44,565.85,554.43,558.2,555.7217545729,42311,0.0,1.0
2024-09-10,580.94,580.94,563.44,568.47,565.946158763985,38755,0.0,1.0
2024-09-09,539.67,596.885,539.67,578.39,575.822116853134,65454,0.0,1.0
2024-09-06,540.06,540.06,533.52,535.21,532.83382347718,14090,0.0,1.0
2024-09-05,545.435,545.435,539.52,540.21,537.811624933404,19595,0.0,1.0
2024-09-04,551.98,553.92,545.405,550.84,548.394430829338,18250,0.0,1.0
2024-09-03,570.24,570.24,554.185,555.96,553.491699520511,28676,0.0,1.0
2024-08-30,570.48,573.97,565.85,573.77,571.222628307583,27409,0.0,1.0
2024-08-29,562.44,570.45,556.57,568.17,565.647490676611,29669,0.0,1.0
2024-08-28,556.41,562.8,556.41,557.64,555.164240809803,17312,0.0,1.0
2024-08-27,555.7,558.4,554.61,554.8,552.336849582667,13583,0.0,1.0
2024-08-26,562.73,562.73,555.365,557.02,554.546993429231,18451,0.0,1.0
2024-08-23,560.7,565.48,560.7,563.03,560.530310779613,15060,0.0,1.0
2024-08-22,561.48,561.87,556.135,557.63,555.15428520689,13609,0.0,1.0
2024-08-21,552.49,559.23,552.49,558.36,555.881044219499,12314,0.0,1.0
2024-08-20,550.8,554.68,550.8,551.85,549.399946723495,16383,0.0,1.0
2024-08-19,550.26,550.3725,548.3,550.13,547.687583022554,9360,0.0,1.0
2024-08-16,546.58,550.1199,545.12,549.12,546.682067128396,24026,0.0,1.0
2024-08-15,549.99,561.27,547.46,549.63,547.189802876931,17227,0.0,1.0
2024-08-14,544.37,548.74,540.965,543.39,540.977506659563,16591,0.0,1.0
2024-08-13,543.89,548.44,541.31,547.92,545.487394778902,20355,0.0,1.0
2024-08-12,545.12,549.12,540.95,543.79,541.375730776061,40747,0.0,1.0
2024-08-09,545.47,547.28,542.38,545.99,543.5659634168,18860,0.0,1.0
2024-08-08,545.41,547.72,539.36,546.2,543.775031077961,19027,0.0,1.0
2024-08-07,546.53,551.425,539.79,539.95,537.552779257681,24425,0.0,1.0
2024-08-06,533.34,546.795,533.34,542.73,540.320436867341,30922,0.0,1.0
2024-08-05,536.01,539.95,529.94,533.72,531.350438643225,23784,0.0,1.0
2024-08-02,551.42,552.26,543.98,550.91,548.464120049725,22706,0.0,1.0
2024-08-01,564.02,564.02,549.69,561.15,558.658657432072,29186,0.0,1.0
2024-07-31,565.87,575.23,560.76,560.87,558.379900550524,46392,0.0,1.0
2024-07-30,555.68,570.63,551.16,566.16,563.646414491209,29100,0.0,1.0
2024-07-29,555.73,561.75,554.28,557.13,554.656505061268,24064,0.0,1.0
2024-07-26,555.34,566.98,555.34,561.87,559.375460841769,29147,0.0,1.0
2024-07-25,546.46,558.75,546.46,552.56,550.106794530279,43458,0.0,1.0
2024-07-24,546.05,547.86,542.37,543.42,541.0073734683,30585,0.0,1.0
2024-07-23,542.44,550.8899,542.44,549.69,547.249536494406,19382,0.0,1.0
2024-07-22,535.4,547.76,521.64,547.06,544.631212928432,25131,0.0,1.0
2024-07-19,545.06,545.06,535.73,539.31,536.915620671284,16242,0.0,1.0
2024-07-18,547.11,550.91,545.74,547.64,545.208637897354,13740,0.0,1.0
2024-07-17,553.955,553.955,544.725,547.32,544.890058604156,20689,0.0,1.0
2024-07-16,533.33,558.87,533.33,554.62,552.157648730243,37799,0.0,1.0
2024-07-15,537.53,541.0,532.76,532.76,530.39470076363,19283,0.0,1.0
2024-07-12,533.0,538.1,529.57,536.34,533.958806606287,32791,0.0,1.0
2024-07-11,519.11,530.41,519.11,528.75,526.402503995738,27921,0.0,1.0
2024-07-10,510.99,515.55,509.17,514.0,511.717989699876,23308,0.0,1.0
2024-07-09,508.82,509.2002,506.74,507.12,504.868534896111,20330,0.0,1.0
2024-07-08,513.81,514.32,509.7,510.2,507.934860593145,30456,0.0,1.0
2024-07-05,507.7,510.03,504.47,509.08,506.819833066951,37850,0.0,1.0
