,INGN_Open,INGN_High,INGN_Low,INGN_Close,INGN_Adj Close,INGN_Volume,INGN_Dividend Amount,INGN_Split Coefficient
2024-10-04,9.41,9.41,9.11,9.12,9.12,86013,0.0,1.0
2024-10-03,9.44,9.44,9.05,9.25,9.25,141977,0.0,1.0
2024-10-02,9.55,9.58,9.29,9.48,9.48,178797,0.0,1.0
2024-10-01,9.7,9.885,9.54,9.62,9.62,227645,0.0,1.0
2024-09-30,9.68,10.0,9.55,9.7,9.7,222446,0.0,1.0
2024-09-27,9.91,9.91,9.31,9.69,9.69,280693,0.0,1.0
2024-09-26,10.29,10.375,9.64,9.75,9.75,229937,0.0,1.0
2024-09-25,10.13,10.21,9.98,10.14,10.14,104288,0.0,1.0
2024-09-24,10.22,10.37,10.11,10.125,10.125,139731,0.0,1.0
2024-09-23,10.45,10.57,10.2102,10.25,10.25,119503,0.0,1.0
2024-09-20,10.68,10.79,10.41,10.47,10.47,277141,0.0,1.0
2024-09-19,10.98,11.01,10.61,10.75,10.75,176772,0.0,1.0
2024-09-18,10.76,11.05,10.56,10.68,10.68,249818,0.0,1.0
2024-09-17,11.08,11.245,10.83,10.84,10.84,174956,0.0,1.0
2024-09-16,11.44,11.44,10.8,10.97,10.97,209969,0.0,1.0
2024-09-13,11.45,11.55,11.25,11.33,11.33,260568,0.0,1.0
2024-09-12,11.63,11.68,11.175,11.265,11.265,136303,0.0,1.0
2024-09-11,11.21,11.67,11.06,11.56,11.56,119804,0.0,1.0
2024-09-10,11.28,11.3321,10.96,11.26,11.26,145727,0.0,1.0
2024-09-09,11.3,11.697,11.14,11.33,11.33,152419,0.0,1.0
2024-09-06,11.75,11.75,11.04,11.3,11.3,130904,0.0,1.0
2024-09-05,11.53,11.77,11.42,11.7,11.7,156059,0.0,1.0
2024-09-04,11.68,11.98,11.475,11.59,11.59,120571,0.0,1.0
2024-09-03,11.96,12.2,11.67,11.68,11.68,198824,0.0,1.0
2024-08-30,12.79,12.9459,12.25,12.27,12.27,109627,0.0,1.0
2024-08-29,13.09,13.22,12.65,12.75,12.75,137224,0.0,1.0
2024-08-28,13.03,13.3299,12.7,12.98,12.98,160056,0.0,1.0
2024-08-27,12.71,13.06,12.6,12.98,12.98,149233,0.0,1.0
2024-08-26,12.58,12.83,12.252,12.72,12.72,170887,0.0,1.0
2024-08-23,12.23,12.865,12.185,12.51,12.51,256355,0.0,1.0
2024-08-22,12.5,12.595,12.16,12.22,12.22,122265,0.0,1.0
2024-08-21,12.63,12.86,12.28,12.47,12.47,143779,0.0,1.0
2024-08-20,12.62,12.81,12.36,12.55,12.55,128707,0.0,1.0
2024-08-19,13.02,13.02,12.39,12.7,12.7,243600,0.0,1.0
2024-08-16,12.59,13.1,12.59,12.85,12.85,176451,0.0,1.0
2024-08-15,12.26,12.86,12.21,12.61,12.61,265732,0.0,1.0
2024-08-14,12.5,12.54,11.9,12.18,12.18,175296,0.0,1.0
2024-08-13,12.03,12.65,12.03,12.49,12.49,329387,0.0,1.0
2024-08-12,12.32,12.38,11.7,11.79,11.79,258651,0.0,1.0
2024-08-09,11.65,12.39,11.59,12.32,12.32,433958,0.0,1.0
2024-08-08,11.35,11.925,10.98,11.67,11.67,723825,0.0,1.0
2024-08-07,9.9,11.3999,9.9,11.08,11.08,1155500,0.0,1.0
2024-08-06,8.24,8.35,7.99,8.15,8.15,218121,0.0,1.0
2024-08-05,8.05,8.36,7.665,8.18,8.18,162357,0.0,1.0
2024-08-02,8.63,8.815,8.54,8.54,8.54,201501,0.0,1.0
2024-08-01,9.26,9.45,8.82,9.1,9.1,169254,0.0,1.0
2024-07-31,9.3,9.54,8.84,9.25,9.25,142303,0.0,1.0
2024-07-30,9.41,9.53,9.16,9.18,9.18,89132,0.0,1.0
2024-07-29,9.7,9.72,9.2,9.36,9.36,91394,0.0,1.0
2024-07-26,9.92,9.92,9.46,9.67,9.67,140068,0.0,1.0
2024-07-25,9.37,9.83,9.2,9.7,9.7,127960,0.0,1.0
2024-07-24,9.56,9.68,9.29,9.4,9.4,107093,0.0,1.0
2024-07-23,9.12,9.68,8.99,9.63,9.63,141958,0.0,1.0
2024-07-22,9.24,9.4,8.94,9.19,9.19,168005,0.0,1.0
2024-07-19,9.04,9.51,8.9,9.25,9.25,186146,0.0,1.0
2024-07-18,9.36,9.8,9.0,9.03,9.03,153847,0.0,1.0
2024-07-17,9.36,9.91,9.312,9.62,9.62,281921,0.0,1.0
2024-07-16,9.41,9.9,9.19,9.75,9.75,329855,0.0,1.0
2024-07-15,9.1,9.289,8.9,9.19,9.19,228178,0.0,1.0
2024-07-12,9.18,9.365,8.95,9.01,9.01,224443,0.0,1.0
2024-07-11,8.83,9.16,8.69,9.0,9.0,273803,0.0,1.0
2024-07-10,8.62,8.8,8.3,8.47,8.47,107723,0.0,1.0
2024-07-09,8.78,8.82,8.47,8.72,8.72,76828,0.0,1.0
2024-07-08,8.31,8.95,8.31,8.82,8.82,162881,0.0,1.0
2024-07-05,8.08,8.31,7.99,8.25,8.25,88175,0.0,1.0
2024-07-03,7.72,8.12,7.63,8.08,8.08,76303,0.0,1.0
2024-07-02,7.83,7.83,7.62,7.67,7.67,90135,0.0,1.0
2024-07-01,8.15,8.295,7.82,7.83,7.83,112672,0.0,1.0
2024-06-28,8.06,8.15,7.9,8.13,8.13,264460,0.0,1.0
2024-06-27,7.79,8.06,7.71,7.97,7.97,153580,0.0,1.0
2024-06-26,7.75,7.94,7.66,7.77,7.77,158594,0.0,1.0
2024-06-25,7.86,7.86,7.6,7.81,7.81,134059,0.0,1.0
2024-06-24,8.16,8.21,7.9,7.95,7.95,149849,0.0,1.0
2024-06-21,7.94,8.19,7.88,8.15,8.15,235045,0.0,1.0
2024-06-20,7.53,7.9,7.5073,7.86,7.86,120370,0.0,1.0
2024-06-18,7.2,7.72,7.11,7.645,7.645,196351,0.0,1.0
2024-06-17,7.22,7.405,7.1502,7.27,7.27,145405,0.0,1.0
2024-06-14,7.73,7.74,7.25,7.295,7.295,203399,0.0,1.0
2024-06-13,8.42,8.43,7.81,7.87,7.87,132397,0.0,1.0
2024-06-12,8.59,8.72,8.32,8.45,8.45,133227,0.0,1.0
2024-06-11,8.33,8.33,8.03,8.28,8.28,110327,0.0,1.0
2024-06-10,8.47,8.5835,8.295,8.41,8.41,119306,0.0,1.0
2024-06-07,8.24,8.67,8.2225,8.64,8.64,144535,0.0,1.0
2024-06-06,8.17,8.48,8.155,8.46,8.46,139600,0.0,1.0
2024-06-05,8.06,8.32,7.94,8.23,8.23,100417,0.0,1.0
2024-06-04,8.36,8.46,8.04,8.07,8.07,115874,0.0,1.0
2024-06-03,8.38,8.52,8.24,8.52,8.52,217128,0.0,1.0
2024-05-31,8.18,8.42,8.1099,8.3,8.3,189736,0.0,1.0
2024-05-30,8.12,8.145,7.75,8.11,8.11,201667,0.0,1.0
2024-05-29,8.38,8.53,8.09,8.1,8.1,163725,0.0,1.0
2024-05-28,8.98,8.98,8.46,8.6,8.6,139445,0.0,1.0
2024-05-24,8.26,8.91,8.17,8.81,8.81,210205,0.0,1.0
2024-05-23,8.65,8.65,8.212,8.25,8.25,112982,0.0,1.0
2024-05-22,8.56,8.77,8.45,8.64,8.64,142648,0.0,1.0
2024-05-21,8.71,8.92,8.54,8.61,8.61,185830,0.0,1.0
2024-05-20,8.75,8.865,8.61,8.76,8.76,133822,0.0,1.0
2024-05-17,8.99,9.1,8.61,8.83,8.83,235771,0.0,1.0
2024-05-16,8.78,9.37,8.735,8.95,8.95,268612,0.0,1.0
2024-05-15,9.1,9.2,8.8,8.84,8.84,227767,0.0,1.0
2024-05-14,8.9,9.2,8.67,8.92,8.92,389105,0.0,1.0
2024-05-13,8.59,9.08,8.48,8.815,8.815,486162,0.0,1.0
2024-05-10,8.74,8.89,8.4,8.46,8.46,494813,0.0,1.0
2024-05-09,8.2,8.87,8.03,8.69,8.69,657464,0.0,1.0
2024-05-08,8.2,8.75,7.42,8.24,8.24,882018,0.0,1.0
2024-05-07,7.18,7.506,7.075,7.3,7.3,359902,0.0,1.0
2024-05-06,7.4,7.4,7.01,7.19,7.19,441594,0.0,1.0
2024-05-03,7.2,7.3,7.0,7.15,7.15,148016,0.0,1.0
2024-05-02,7.2,7.35,6.75,7.03,7.03,215068,0.0,1.0
2024-05-01,6.83,7.33,6.72,7.05,7.05,148793,0.0,1.0
2024-04-30,6.91,6.945,6.72,6.8,6.8,225547,0.0,1.0
2024-04-29,6.84,7.04,6.67,7.02,7.02,203384,0.0,1.0
2024-04-26,6.48,6.78,6.4676,6.78,6.78,174045,0.0,1.0
2024-04-25,6.99,6.99,6.42,6.48,6.48,197777,0.0,1.0
2024-04-24,6.88,7.07,6.72,7.05,7.05,231138,0.0,1.0
2024-04-23,6.69,7.07,6.64,6.9,6.9,184495,0.0,1.0
2024-04-22,6.76,6.835,6.6201,6.7,6.7,173383,0.0,1.0
2024-04-19,6.92,7.28,6.68,6.75,6.75,260842,0.0,1.0
2024-04-18,6.97,7.2,6.77,7.09,7.09,346206,0.0,1.0
2024-04-17,7.0,7.04,6.75,6.95,6.95,464068,0.0,1.0
2024-04-16,7.02,7.22,6.83,6.93,6.93,211820,0.0,1.0
2024-04-15,7.38,7.4,7.06,7.16,7.16,309033,0.0,1.0
2024-04-12,7.14,7.38,6.9499,7.36,7.36,250742,0.0,1.0
2024-04-11,7.42,7.68,7.15,7.28,7.28,228981,0.0,1.0
2024-04-10,7.41,7.71,7.15,7.4,7.4,692234,0.0,1.0
2024-04-09,6.49,7.95,6.46,7.72,7.72,820152,0.0,1.0
2024-04-08,6.34,6.5687,6.14,6.43,6.43,332429,0.0,1.0
2024-04-05,6.65,6.78,6.29,6.3,6.3,327628,0.0,1.0
2024-04-04,7.18,7.24,6.56,6.65,6.65,195721,0.0,1.0
2024-04-03,7.01,7.21,6.9054,6.94,6.94,172158,0.0,1.0
2024-04-02,7.32,7.375,6.8801,7.09,7.09,286344,0.0,1.0
2024-04-01,8.07,8.07,7.52,7.54,7.54,235614,0.0,1.0
2024-03-28,7.92,8.19,7.9,8.07,8.07,315844,0.0,1.0
2024-03-27,7.82,8.03,7.73,7.965,7.965,242350,0.0,1.0
2024-03-26,7.65,7.84,7.55,7.74,7.74,227522,0.0,1.0
2024-03-25,7.12,7.63,7.12,7.52,7.52,329809,0.0,1.0
2024-03-22,7.14,7.14,6.84,7.07,7.07,245301,0.0,1.0
2024-03-21,6.99,7.21,6.78,7.12,7.12,303378,0.0,1.0
