,HSKA_Open,HSKA_High,HSKA_Low,HSKA_Close,HSKA_Adj Close,HSKA_Volume,HSKA_Dividend Amount,HSKA_Split Coefficient
2023-06-13,119.99,119.99,119.99,119.99,119.99,0,0.0,1.0
2023-06-12,119.96,120.03,119.96,119.99,119.99,394433,0.0,1.0
2023-06-09,119.95,119.96,119.88,119.94,119.94,210630,0.0,1.0
2023-06-08,119.93,119.96,119.9,119.94,119.94,318711,0.0,1.0
2023-06-07,119.85,119.95,119.71,119.87,119.87,793341,0.0,1.0
2023-06-06,119.87,119.89,119.83,119.84,119.84,637803,0.0,1.0
2023-06-05,119.83,119.89,119.8,119.89,119.89,318799,0.0,1.0
2023-06-02,119.85,119.86,119.82,119.84,119.84,374623,0.0,1.0
2023-06-01,119.75,119.9,119.69,119.85,119.85,239201,0.0,1.0
2023-05-31,119.69,119.87,119.67,119.73,119.73,176092,0.0,1.0
2023-05-30,119.68,119.73,119.64,119.7,119.7,1347642,0.0,1.0
2023-05-26,115.5,116.07,115.42,115.55,115.55,139869,0.0,1.0
2023-05-25,116.19,116.19,115.63,115.69,115.69,127975,0.0,1.0
2023-05-24,116.68,116.68,115.86,115.98,115.98,253551,0.0,1.0
2023-05-23,116.81,116.905,116.35,116.44,116.44,129700,0.0,1.0
2023-05-22,116.76,117.0,116.25,116.31,116.31,94671,0.0,1.0
2023-05-19,117.0,117.14,116.31,116.5,116.5,165139,0.0,1.0
2023-05-18,116.2,117.18,116.2,116.8,116.8,453511,0.0,1.0
2023-05-17,116.8,117.0,116.12,116.12,116.12,149547,0.0,1.0
2023-05-16,117.0,117.33,116.295,117.0,117.0,103981,0.0,1.0
2023-05-15,117.08,117.19,116.85,116.97,116.97,196848,0.0,1.0
2023-05-12,116.91,117.21,116.91,117.12,117.12,120437,0.0,1.0
2023-05-11,116.77,117.06,116.77,117.03,117.03,134655,0.0,1.0
2023-05-10,116.87,117.14,116.82,117.02,117.02,176645,0.0,1.0
2023-05-09,116.88,116.99,116.75,116.99,116.99,87697,0.0,1.0
2023-05-08,117.0,117.07,116.79,116.81,116.81,340346,0.0,1.0
2023-05-05,117.0,117.22,116.8,116.8,116.8,157949,0.0,1.0
2023-05-04,117.04,117.1,116.8,116.91,116.91,103547,0.0,1.0
2023-05-03,117.09,117.48,116.85,116.87,116.87,265579,0.0,1.0
