,JLL_Open,JLL_High,JLL_Low,JLL_Close,JLL_Adj Close,JLL_Volume,JLL_Dividend Amount,JLL_Split Coefficient
2024-10-07,258.5,261.733,257.18,259.7,259.7,280793,0.0,1.0
2024-10-04,266.37,266.37,260.03,260.86,260.86,224975,0.0,1.0
2024-10-03,266.06,267.06,260.91,264.69,264.69,453192,0.0,1.0
2024-10-02,264.03,269.48,263.96,268.04,268.04,242480,0.0,1.0
2024-10-01,265.45,269.65,262.41,266.44,266.44,317501,0.0,1.0
2024-09-30,265.79,270.18,265.75,269.81,269.81,244819,0.0,1.0
2024-09-27,273.34,273.82,265.33,266.1,266.1,237785,0.0,1.0
2024-09-26,270.5,273.17,267.95,272.0,272.0,269757,0.0,1.0
2024-09-25,269.97,271.91,265.52,267.31,267.31,353448,0.0,1.0
2024-09-24,264.99,270.62,262.86,269.43,269.43,236295,0.0,1.0
2024-09-23,264.53,265.565,262.02,265.46,265.46,216272,0.0,1.0
2024-09-20,260.75,262.92,260.0,262.4,262.4,487951,0.0,1.0
2024-09-19,262.19,265.63,260.81,263.26,263.26,370912,0.0,1.0
2024-09-18,252.72,263.36,250.21,257.27,257.27,362913,0.0,1.0
2024-09-17,258.12,258.84,250.92,251.3,251.3,335158,0.0,1.0
2024-09-16,255.0,258.27,254.67,257.12,257.12,189600,0.0,1.0
2024-09-13,252.18,255.55,252.18,254.28,254.28,364988,0.0,1.0
2024-09-12,255.0,256.77,250.22,251.38,251.38,374075,0.0,1.0
2024-09-11,250.76,254.13,246.69,253.72,253.72,208884,0.0,1.0
2024-09-10,252.14,254.62,249.28,254.03,254.03,210267,0.0,1.0
2024-09-09,245.38,252.13,245.085,251.57,251.57,261894,0.0,1.0
2024-09-06,249.42,250.275,243.22,245.0,245.0,195924,0.0,1.0
2024-09-05,250.2,252.4,248.36,249.45,249.45,212846,0.0,1.0
2024-09-04,249.86,252.52,247.37,249.39,249.39,195210,0.0,1.0
2024-09-03,252.41,255.0,248.695,250.88,250.88,316241,0.0,1.0
2024-08-30,254.58,255.27,251.13,255.23,255.23,408440,0.0,1.0
2024-08-29,253.01,257.4974,251.275,252.28,252.28,304244,0.0,1.0
2024-08-28,250.8,253.695,250.08,251.83,251.83,251360,0.0,1.0
2024-08-27,252.17,253.7,250.8,251.0,251.0,247974,0.0,1.0
2024-08-26,260.0,261.83,256.14,256.19,256.19,207388,0.0,1.0
2024-08-23,249.18,259.91,248.66,259.04,259.04,331411,0.0,1.0
2024-08-22,246.59,249.05,245.855,247.19,247.19,173175,0.0,1.0
2024-08-21,243.94,247.795,241.91,246.56,246.56,221521,0.0,1.0
2024-08-20,247.74,248.0,242.1,243.37,243.37,180404,0.0,1.0
2024-08-19,246.43,248.76,245.995,248.51,248.51,235566,0.0,1.0
2024-08-16,244.98,247.18,242.62,246.33,246.33,186987,0.0,1.0
2024-08-15,245.33,247.06,244.165,244.32,244.32,196009,0.0,1.0
2024-08-14,245.4,245.4,238.54,240.93,240.93,308356,0.0,1.0
2024-08-13,237.52,244.745,236.18,244.55,244.55,256430,0.0,1.0
2024-08-12,238.08,238.08,232.57,234.94,234.94,227863,0.0,1.0
2024-08-09,240.53,241.01,236.37,238.2,238.2,203092,0.0,1.0
2024-08-08,232.73,240.81,231.305,239.42,239.42,304412,0.0,1.0
2024-08-07,236.89,237.76,229.315,229.85,229.85,360757,0.0,1.0
2024-08-06,228.08,239.87,218.35,233.99,233.99,663323,0.0,1.0
2024-08-05,224.48,238.88,224.02,231.99,231.99,715648,0.0,1.0
2024-08-02,240.02,242.2588,234.73,239.28,239.28,522336,0.0,1.0
2024-08-01,252.08,254.67,243.24,246.59,246.59,410056,0.0,1.0
2024-07-31,249.52,254.34,247.44,250.9,250.9,351610,0.0,1.0
2024-07-30,253.09,253.2747,246.82,248.25,248.25,313920,0.0,1.0
2024-07-29,251.51,254.59,251.02,252.84,252.84,225406,0.0,1.0
2024-07-26,250.53,252.09,247.28,250.83,250.83,539666,0.0,1.0
2024-07-25,233.93,249.42,231.93,245.1,245.1,672677,0.0,1.0
2024-07-24,234.75,237.149,231.79,232.04,232.04,287548,0.0,1.0
2024-07-23,232.5,238.63,232.5,236.3,236.3,173781,0.0,1.0
2024-07-22,230.76,235.0,229.27,234.29,234.29,288160,0.0,1.0
2024-07-19,232.23,233.44,230.39,230.76,230.76,163685,0.0,1.0
2024-07-18,229.21,237.83,229.21,231.92,231.92,326145,0.0,1.0
2024-07-17,233.29,233.96,229.35,229.96,229.96,392421,0.0,1.0
2024-07-16,229.21,237.22,229.21,235.24,235.24,315528,0.0,1.0
2024-07-15,226.81,231.48,226.14,226.65,226.65,329996,0.0,1.0
2024-07-12,219.72,226.6,219.16,225.82,225.82,406235,0.0,1.0
2024-07-11,212.62,218.56,212.62,217.46,217.46,288263,0.0,1.0
2024-07-10,207.05,208.045,205.19,207.59,207.59,193483,0.0,1.0
2024-07-09,202.79,209.45,201.59,206.04,206.04,218851,0.0,1.0
2024-07-08,202.81,205.82,202.73,203.73,203.73,212027,0.0,1.0
2024-07-05,205.95,206.0,201.85,202.15,202.15,314658,0.0,1.0
2024-07-03,205.19,209.24,204.03,206.59,206.59,105945,0.0,1.0
2024-07-02,199.73,203.83,197.55,203.48,203.48,186446,0.0,1.0
2024-07-01,205.15,205.15,195.8614,198.7,198.7,319499,0.0,1.0
2024-06-28,205.39,207.29,204.33,205.28,205.28,598894,0.0,1.0
2024-06-27,202.25,204.69,200.61,204.46,204.46,232041,0.0,1.0
2024-06-26,202.07,202.29,200.49,201.47,201.47,214092,0.0,1.0
2024-06-25,204.72,205.52,201.04,203.58,203.58,253036,0.0,1.0
2024-06-24,208.94,208.94,205.26,205.47,205.47,286572,0.0,1.0
2024-06-21,211.17,212.3,206.87,208.67,208.67,495886,0.0,1.0
2024-06-20,212.43,213.33,209.73,209.85,209.85,399686,0.0,1.0
2024-06-18,208.89,212.97,208.89,211.6,211.6,371397,0.0,1.0
2024-06-17,204.13,208.0,201.41,207.65,207.65,258921,0.0,1.0
2024-06-14,201.93,204.75,200.67,204.72,204.72,240417,0.0,1.0
2024-06-13,202.63,204.95,202.415,204.64,204.64,202754,0.0,1.0
2024-06-12,203.23,207.39,203.23,204.24,204.24,401530,0.0,1.0
2024-06-11,196.34,196.9,194.81,196.27,196.27,169940,0.0,1.0
2024-06-10,196.25,199.645,195.125,198.68,198.68,208399,0.0,1.0
2024-06-07,195.95,199.145,195.4811,198.94,198.94,252193,0.0,1.0
2024-06-06,199.3,200.0,198.11,199.03,199.03,310633,0.0,1.0
2024-06-05,199.14,201.295,196.57,200.0,200.0,135014,0.0,1.0
2024-06-04,197.62,199.0,196.41,197.15,197.15,225568,0.0,1.0
2024-06-03,203.82,205.3141,197.3,199.0,199.0,285925,0.0,1.0
2024-05-31,200.82,202.48,198.5,202.07,202.07,265918,0.0,1.0
2024-05-30,197.03,199.05,195.05,199.0,199.0,183331,0.0,1.0
2024-05-29,193.68,197.01,192.94,196.03,196.03,194189,0.0,1.0
2024-05-28,200.37,201.48,194.78,196.5,196.5,315586,0.0,1.0
2024-05-24,197.13,199.11,196.095,199.0,199.0,231935,0.0,1.0
2024-05-23,199.29,199.555,194.85,196.02,196.02,376867,0.0,1.0
2024-05-22,198.93,200.67,196.46,198.54,198.54,245871,0.0,1.0
2024-05-21,200.94,201.61,199.25,200.03,200.03,170712,0.0,1.0
2024-05-20,204.81,204.81,201.21,202.1,202.1,191734,0.0,1.0
2024-05-17,207.61,207.845,205.12,206.2,206.2,179707,0.0,1.0
2024-05-16,208.03,209.79,206.43,207.54,207.54,320899,0.0,1.0
2024-05-15,200.0,208.03,199.35,207.88,207.88,382420,0.0,1.0
2024-05-14,197.27,198.59,194.06,196.75,196.75,194427,0.0,1.0
2024-05-13,198.0,198.9,194.173,194.6,194.6,266795,0.0,1.0
2024-05-10,193.89,196.14,193.59,195.85,195.85,208942,0.0,1.0
2024-05-09,192.17,194.64,191.84,193.89,193.89,334715,0.0,1.0
2024-05-08,188.0,191.34,186.5,191.09,191.09,218146,0.0,1.0
2024-05-07,192.4,193.86,189.89,190.28,190.28,437557,0.0,1.0
2024-05-06,193.44,200.73,190.8,191.14,191.14,565397,0.0,1.0
2024-05-03,188.04,189.3,182.33,185.52,185.52,322658,0.0,1.0
2024-05-02,182.85,184.405,180.42,183.99,183.99,231415,0.0,1.0
2024-05-01,180.14,184.23,178.6,180.41,180.41,282083,0.0,1.0
2024-04-30,181.35,184.05,180.5,180.7,180.7,219861,0.0,1.0
2024-04-29,184.65,185.3299,182.5,183.7,183.7,183120,0.0,1.0
2024-04-26,180.63,184.1,180.63,182.5,182.5,155057,0.0,1.0
2024-04-25,180.1,181.33,179.31,180.51,180.51,272068,0.0,1.0
2024-04-24,181.51,182.54,179.58,181.86,181.86,195218,0.0,1.0
2024-04-23,179.83,183.18,179.83,182.33,182.33,171723,0.0,1.0
2024-04-22,176.6,179.72,175.12,179.02,179.02,215038,0.0,1.0
2024-04-19,174.26,176.03,174.08,175.11,175.11,209609,0.0,1.0
2024-04-18,174.65,175.9,173.44,175.0,175.0,276731,0.0,1.0
2024-04-17,174.71,175.71,173.04,173.39,173.39,217872,0.0,1.0
2024-04-16,175.05,175.05,171.45,174.12,174.12,204871,0.0,1.0
2024-04-15,181.98,181.98,175.5,176.26,176.26,192894,0.0,1.0
2024-04-12,181.14,182.38,179.85,180.21,180.21,175248,0.0,1.0
2024-04-11,183.81,184.48,181.92,182.3,182.3,300346,0.0,1.0
2024-04-10,190.54,190.54,183.19,183.7,183.7,505390,0.0,1.0
2024-04-09,194.43,195.71,189.6,194.0,194.0,301894,0.0,1.0
2024-04-08,199.82,200.14,196.41,197.55,197.55,244667,0.0,1.0
2024-04-05,195.4,199.12,195.4,198.34,198.34,226578,0.0,1.0
2024-04-04,197.56,200.11,194.94,196.46,196.46,351700,0.0,1.0
2024-04-03,194.0,195.14,192.0,194.31,194.31,299146,0.0,1.0
2024-04-02,187.82,189.39,185.9286,189.14,189.14,224387,0.0,1.0
2024-04-01,194.91,194.91,189.97,190.31,190.31,260376,0.0,1.0
2024-03-28,193.96,196.61,193.96,195.09,195.09,272202,0.0,1.0
2024-03-27,192.92,194.54,191.93,193.88,193.88,190591,0.0,1.0
2024-03-26,192.24,193.445,190.47,190.64,190.64,318868,0.0,1.0
2024-03-25,190.62,191.98,188.68,191.53,191.53,328046,0.0,1.0
2024-03-22,195.33,195.33,190.54,190.74,190.74,231355,0.0,1.0
2024-03-21,189.56,195.38,188.92,194.94,194.94,263941,0.0,1.0
2024-03-20,184.56,190.32,184.56,187.94,187.94,190351,0.0,1.0
2024-03-19,182.89,185.49,182.89,185.47,185.47,195393,0.0,1.0
2024-03-18,184.76,185.27,182.765,183.29,183.29,278302,0.0,1.0
2024-03-15,181.74,184.76,180.7,183.68,183.68,572654,0.0,1.0
2024-03-14,184.8,184.96,180.715,184.74,184.74,381503,0.0,1.0
2024-03-13,185.58,187.41,183.83,184.8,184.8,289286,0.0,1.0
2024-03-12,186.87,187.25,183.565,186.06,186.06,241520,0.0,1.0
2024-03-11,186.7,187.87,184.5,187.39,187.39,250551,0.0,1.0
2024-03-08,188.95,191.85,186.99,188.48,188.48,279868,0.0,1.0
2024-03-07,188.24,188.33,184.54,186.04,186.04,244928,0.0,1.0
2024-03-06,191.48,191.48,185.79,187.16,187.16,254405,0.0,1.0
2024-03-05,189.03,192.58,187.57,188.52,188.52,157466,0.0,1.0
2024-03-04,192.59,193.64,190.855,191.47,191.47,231908,0.0,1.0
