,NOC_Open,NOC_High,NOC_Low,NOC_Close,NOC_Adj Close,NOC_Volume,NOC_Dividend Amount,NOC_Split Coefficient
2024-07-12,435.0,437.69,431.63,432.24,430.54316455455,692103,0.0,1.0
2024-07-11,425.06,433.2,424.66,432.02,430.324028203907,761214,0.0,1.0
2024-07-10,422.69,426.59,422.69,426.24,424.566718627918,717706,0.0,1.0
2024-07-09,430.0,430.39,423.68,423.73,422.066572081944,910409,0.0,1.0
2024-07-08,435.15,436.1268,429.41,430.25,428.56097665555,728019,0.0,1.0
2024-07-05,437.09,437.09,432.49,434.73,433.023389614102,436706,0.0,1.0
2024-07-03,436.98,438.51,434.85,437.09,435.37412501191,303984,0.0,1.0
2024-07-02,434.72,437.48,433.66,437.37,435.65302582182,504040,0.0,1.0
2024-07-01,437.6,440.5,433.225,435.0,433.2923296808,719103,0.0,1.0
2024-06-28,436.31,438.1,433.95,435.95,434.23860028585,1103091,0.0,1.0
2024-06-27,432.54,437.6,431.99,434.91,433.202682991901,981633,0.0,1.0
2024-06-26,430.33,433.229,427.11,431.49,429.796108813721,779469,0.0,1.0
