,PVH_Open,PVH_High,PVH_Low,PVH_Close,PVH_Adj Close,PVH_Volume,PVH_Dividend Amount,PVH_Split Coefficient
2024-10-07,97.01,97.36,95.825,97.21,97.21,639232,0.0,1.0
2024-10-04,96.64,97.92,95.53,97.9,97.9,587757,0.0,1.0
2024-10-03,94.0,95.018,93.22,94.88,94.88,611108,0.0,1.0
2024-10-02,95.52,96.425,94.28,94.91,94.91,876701,0.0,1.0
2024-10-01,100.24,100.295,97.08,97.64,97.64,637834,0.0,1.0
2024-09-30,100.02,101.18,99.62,100.83,100.83,694416,0.0,1.0
2024-09-27,98.66,100.855,98.2625,100.43,100.43,1156513,0.0,1.0
2024-09-26,97.58,98.67,96.28,97.51,97.51,1117875,0.0,1.0
2024-09-25,96.06,96.975,94.32,94.99,94.99,634958,0.0,1.0
2024-09-24,94.85,97.36,94.77,96.05,96.05,1110982,0.0,1.0
2024-09-23,97.0,97.595,95.69,96.94,96.94,789235,0.0,1.0
2024-09-20,97.31,98.16,96.45,97.13,97.13,1542534,0.0,1.0
2024-09-19,98.38,98.39,96.47,97.55,97.55,941492,0.0,1.0
2024-09-18,96.52,98.69,95.325,96.3,96.3,479225,0.0,1.0
2024-09-17,96.43,97.28,95.39,96.16,96.16,589579,0.0,1.0
2024-09-16,94.62,96.58,94.545,95.89,95.89,907855,0.0,1.0
2024-09-13,94.9,95.67,94.26,94.72,94.72,585204,0.0,1.0
2024-09-12,93.21,94.31,92.515,93.75,93.75,523330,0.0,1.0
2024-09-11,92.84,93.37,90.17,93.09,93.09,630459,0.0,1.0
2024-09-10,95.21,95.505,91.57,92.99,92.99,598538,0.0,1.0
2024-09-09,94.58,96.68,94.505,95.3,95.3,838316,0.0,1.0
2024-09-06,96.69,98.35,94.93,94.96,94.96,810833,0.0,1.0
2024-09-05,97.06,98.1398,96.08,96.83,96.83,628619,0.0,1.0
2024-09-04,95.74,96.735,95.49,96.61,96.61,624593,0.0375,1.0
2024-09-03,97.86,98.35,95.9,96.69,96.6524835096614,821012,0.0,1.0
2024-08-30,98.07,98.78,96.64,98.69,98.6517074937272,1010106,0.0,1.0
2024-08-29,98.02,98.42,95.51,96.89,96.852405908068,1209552,0.0,1.0
2024-08-28,96.0,98.8,94.41,97.75,97.7120722212163,1924977,0.0,1.0
2024-08-27,103.13,105.32,102.19,104.46,104.419468687757,1366365,0.0,1.0
2024-08-26,106.58,107.36,103.585,103.69,103.649767453892,936088,0.0,1.0
2024-08-23,102.9,106.21,102.9,105.66,105.619003078197,666765,0.0,1.0
2024-08-22,103.0,103.57,101.63,101.87,101.830473628392,590435,0.0,1.0
2024-08-21,102.95,103.61,101.64,102.85,102.810093380584,950522,0.0,1.0
2024-08-20,100.52,101.48,99.36,100.42,100.381036239944,471017,0.0,1.0
2024-08-19,99.59,100.78,99.0601,100.73,100.690915957474,510142,0.0,1.0
2024-08-16,98.83,100.08,98.19,99.56,99.5213699267958,534868,0.0,1.0
2024-08-15,99.14,101.03,98.49,99.1,99.0615484104607,671959,0.0,1.0
2024-08-14,97.52,97.56,95.17,95.38,95.3429918000983,568076,0.0,1.0
